PolicyExecTime,AverageQ,AbsLearnSignalNew,ProcessExecTime,AbsLearnSignal,ItrTime,AveragePolicyStd,ExplainedVariance,Time,MinReturn,Perplexity,MeanKL,EnvExecTime,AverageY,MeanKLBefore,AverageReturn,AverageDiscountedReturn,Entropy,AverageQLoss,StdReturn,AverageAbsQ,AverageAbsY,AverageAbsQYDiff,AbsLearnSignalOld,Iteration,MaxReturn,LossBefore,NumTrajs,dLoss,LossAfter
1.0700891017913818,192.265,0.726906061307,0.14189696311950684,0.726906061307,56.079373836517334,1.00143,0.510299976551,21077.057414770126,240.027577518,3.06567e+10,0.0097486,10.263947010040283,192.281289899,0.0,474.174816414,295.998170379,24.1461,154.424,118.401646425,195.154,195.172566414,8.41973567291,0.727148954459,381,744.148842412,-213.926,53,0.118576,-214.044
1.0954487323760986,193.142,0.509334295471,0.14194464683532715,0.509334295471,55.43474531173706,1.00136,-0.278805193901,21132.624587535858,219.902532049,3.06189e+10,0.00929198,10.27584433555603,193.154004788,0.0,443.654324027,281.353565633,24.1449,154.172,136.642569377,196.048,196.072502992,8.45244594327,0.509105297727,382,851.543011355,-213.402,55,0.110306,-213.512
1.0642971992492676,193.533,0.560073493187,0.14069676399230957,0.560073493187,55.37178826332092,1.00133,-0.103614461521,21188.12308073044,220.746199681,3.06033e+10,0.00989502,10.356741189956665,193.548505402,0.0,439.476508553,281.940383304,24.1444,158.802,109.483985047,196.379,196.402835328,8.59020041584,0.559173389193,383,741.834285231,-212.365,55,0.127487,-212.493
1.0446853637695312,194.499,0.459395932664,0.13828420639038086,0.459395932664,55.04376459121704,1.00127,-0.229020161155,21243.29065990448,210.913609418,3.05731e+10,0.00643939,9.904086589813232,194.515696168,0.0,422.453123983,276.982531474,24.1434,167.501,95.0207153679,197.29,197.3094781,8.69874419292,0.45921384649,384,681.164640065,-206.226,58,0.0923462,-206.318
1.0604546070098877,194.011,0.336294664184,0.1371607780456543,0.336294664184,55.02002835273743,1.00127,-0.604458683659,21298.4441947937,201.422598101,3.05726e+10,0.00643288,10.158902406692505,194.022982152,0.0,428.700107963,277.810107582,24.1434,170.349,124.433312462,196.911,196.943512644,8.80327824463,0.335741863952,385,953.234195453,-219.343,57,0.0970612,-219.44
1.0755412578582764,192.683,0.557177052056,0.13916349411010742,0.557177052056,55.995760917663574,1.00121,-0.160701704807,21354.568198680878,228.969022204,3.05398e+10,0.00932478,10.033269166946411,192.692925592,0.0,432.699576068,281.6028658,24.1423,180.92,97.8635661014,195.679,195.71566581,8.9301425301,0.557372372623,386,740.043626874,-209.114,57,0.118454,-209.233
1.0715677738189697,192.041,0.108767967461,0.1414945125579834,0.108767967461,56.571738958358765,1.00114,-46.8390816727,21411.27433037758,186.656083722,3.05041e+10,0.00830277,9.755701780319214,192.056506026,0.0,435.174039019,282.095332197,24.1411,184.19,93.5532017064,195.045,195.08550859,8.99950476187,0.108671929689,387,726.0679647,-206.339,56,0.102188,-206.441
1.099804401397705,191.396,0.365095634592,0.14600253105163574,0.365095634592,54.56306171417236,1.00115,-1.71229388124,21465.966413497925,202.272622562,3.05089e+10,0.00928284,9.989076375961304,191.41032705,0.0,421.841631494,272.747943289,24.1413,189.001,147.097792537,194.436,194.481023101,9.07938805593,0.364667008759,388,1211.46327078,-199.643,58,0.0969086,-199.74
1.0327913761138916,191.366,0.513327813645,0.1355128288269043,0.513327813645,55.62696981430054,1.00115,-0.625097462876,21521.721992492676,228.210922617,3.05083e+10,0.00647951,9.781277418136597,191.375500555,0.0,434.051112972,280.929815712,24.1413,193.672,104.881184194,194.418,194.46352868,9.06710152287,0.513031553929,389,800.70611072,-214.401,56,0.0901489,-214.491
1.0225167274475098,192.107,0.440986687183,0.1347334384918213,0.440986687183,55.29920554161072,1.00117,-2.46273172433,21577.160220861435,184.396249928,3.05191e+10,0.00997811,9.686177015304565,192.122063799,0.0,414.256708783,271.068575604,24.1416,184.427,121.491684475,195.041,195.082236764,9.08478989467,0.440672415941,390,949.260704957,-205.578,59,0.109421,-205.688
1.0281286239624023,192.727,0.578304326154,0.1356983184814453,0.578304326154,55.62802743911743,1.00113,0.179808764695,21632.925289154053,246.069048726,3.0499e+10,0.00984211,9.891186237335205,192.743794845,0.0,440.398516243,283.32705889,24.141,185.39,106.210594468,195.502,195.543729333,9.21451575093,0.577842829543,391,788.699428009,-214.555,55,0.101212,-214.656
1.0323219299316406,193.484,0.480689266383,0.13613462448120117,0.480689266383,55.109575033187866,1.00103,-0.880756896623,21688.171974658966,199.675723631,3.04463e+10,0.00972568,9.703108787536621,193.496478169,0.0,421.613052887,275.66145749,24.1392,202.576,105.635368298,196.237,196.295068203,9.33074779557,0.480269685654,392,841.315614089,-209.07,58,0.105194,-209.175
1.0637807846069336,193.87,0.232084848094,0.1370687484741211,0.232084848094,55.22604775428772,1.0009,-4.15995777377,21743.536170244217,203.887732853,3.03778e+10,0.00992933,9.94457721710205,193.891511056,0.0,402.132528145,266.77522409,24.137,188.592,99.9369740473,196.551,196.587740786,9.33502744324,0.231521281836,393,659.15587476,-205.52,60,0.101044,-205.621
1.0542125701904297,193.172,0.178872119229,0.14139747619628906,0.178872119229,56.68569350242615,1.0008,-14.0520064896,21800.364158391953,232.636109049,3.03292e+10,0.00890354,10.03849172592163,193.185150247,0.0,408.051060852,268.892380427,24.1354,206.195,111.154247043,195.858,195.908142013,9.34232703909,0.178708759727,394,809.430336826,-205.321,59,0.101715,-205.423
1.0512020587921143,192.58,0.322528661261,0.14008259773254395,0.322528661261,56.24434280395508,1.00083,-2.35866737198,21856.743893623352,186.108738195,3.03445e+10,0.00873561,9.809650182723999,192.599745978,0.0,398.353153576,265.151911594,24.1359,191.552,105.9314048,195.217,195.266006941,9.3405677245,0.322661747923,395,737.851898924,-210.674,61,0.0935211,-210.768
1.0199358463287354,191.43,0.236274856689,0.13682150840759277,0.236274856689,54.42021465301514,1.00083,-3.81054185726,21911.299989700317,188.431451364,3.03422e+10,0.0097776,9.667050838470459,191.443590076,0.0,382.126835816,256.94643358,24.1358,208.203,107.795810537,193.966,194.02780719,9.3709003128,0.235869611246,396,693.205420433,-205.51,62,0.0954895,-205.605
