MaxReturn,AverageReturn,AbsLearnSignalNew,AverageDiscountedReturn,NumTrajs,AverageQ,Entropy,Time,AverageQLoss,LossBefore,MeanKLBefore,Iteration,PolicyExecTime,ExplainedVariance,EnvExecTime,LossAfter,AverageAbsQ,AverageAbsQYDiff,Perplexity,ProcessExecTime,AbsLearnSignalOld,AverageY,AverageAbsY,StdReturn,ItrTime,MinReturn,dLoss,MeanKL,AveragePolicyStd,AbsLearnSignal
560.737717509,340.635585804,0.601557386843,242.526773719,72,176.006,24.1225,1797.920936346054,106.736,-174.117,0.0,27,1.173661708831787,0.718140527454,9.56428837776184,-174.259,176.041,7.20389306034,2.99423e+10,0.14141631126403809,0.599680564009,176.029961731,176.033529506,64.8820242192,63.836076736450195,200.542405119,0.141434,0.00998268,1.00004,0.601557386843
527.77718407,347.133924494,0.58983703853,245.810511634,71,174.732,24.1239,1861.752712726593,101.93,-173.959,0.0,28,1.1519768238067627,0.369711714921,9.369632244110107,-174.096,174.766,7.03052092152,2.99834e+10,0.1370546817779541,0.589458540223,174.752622279,174.756961691,62.2268696976,63.710331439971924,230.635363198,0.137238,0.00997136,1.00012,0.58983703853
567.245724495,332.640240904,0.1601971011,238.359622754,76,172.971,24.124,1925.723608493805,99.8983,-169.774,0.0,29,1.1849710941314697,-7.54289363333,9.64537525177002,-169.894,173.004,6.94744190544,2.99861e+10,0.1469733715057373,0.159938220245,172.99176642,172.99508703,66.0296102346,63.84149718284607,226.407309836,0.120438,0.00960064,1.00012,0.1601971011
602.436081351,342.323442732,0.540218803451,242.735376732,73,171.669,24.1239,1990.1709690093994,96.9021,-167.697,0.0,30,1.165855884552002,0.471672204573,9.43499207496643,-167.823,171.708,6.84643820528,2.99832e+10,0.13939166069030762,0.540315692464,171.692697006,171.698563327,78.0283497599,64.32494807243347,186.393352924,0.126022,0.00979342,1.00012,0.540218803451
545.049675473,343.221821306,0.54358017743,243.354895015,71,170.775,24.1215,2054.9058809280396,94.4212,-172.798,0.0,31,1.194556713104248,-0.454839586648,9.56435251235962,-172.951,170.811,6.75545666673,2.99116e+10,0.14008355140686035,0.543691366448,170.79472998,170.799099461,62.6809083306,64.61573028564453,233.037723796,0.152573,0.00986997,0.999976,0.54358017743
777.890569496,377.219488333,0.523343029543,256.639307713,66,169.857,24.1229,2120.4042637348175,91.0107,-174.268,0.0,32,1.1913907527923584,0.327247683551,9.633744239807129,-174.417,169.897,6.64001823048,2.99525e+10,0.14200568199157715,0.522987580601,169.882343241,169.887929454,109.1576434,65.37174129486084,174.230651071,0.148422,0.00949224,1.00006,0.523343029543
563.328691279,357.82838932,0.51200970719,249.928919421,69,169.047,24.1221,2186.130558490753,89.4437,-172.722,0.0,33,1.205550193786621,-0.393841815403,9.607773303985596,-172.859,169.09,6.55713308631,2.99286e+10,0.1422262191772461,0.51266763594,169.065881461,169.071463282,73.3875902888,65.60741209983826,229.385917651,0.136658,0.00994274,1.00001,0.51200970719
662.37130423,352.328964841,0.161972019452,247.724015285,70,168.793,24.1224,2251.6008722782135,88.3357,-171.583,0.0,34,1.2052249908447266,-16.9557905369,9.61298418045044,-171.718,168.829,6.51108980478,2.99393e+10,0.14109230041503906,0.161944515523,168.813155547,168.817385294,74.4056329936,65.3482174873352,228.609062091,0.134445,0.00964298,1.00003,0.161972019452
766.806281391,375.819952551,0.425614513531,258.034419585,67,168.679,24.1195,2316.6529729366302,86.1296,-171.539,0.0,35,1.2009379863739014,-0.318458157347,9.552096128463745,-171.645,168.715,6.42989124941,2.98522e+10,0.14075183868408203,0.425725501188,168.699506506,168.704757394,98.4863042254,64.93577885627747,136.061018277,0.106125,0.00827864,0.999859,0.425614513531
786.378991139,400.347451191,0.10625946807,268.110533484,62,168.789,24.1185,2382.5872461795807,85.0448,-175.08,0.0,36,1.221193552017212,-388.247758454,9.606912851333618,-175.175,168.826,6.38850054743,2.98221e+10,0.14290785789489746,0.106263236255,168.808749763,168.814708168,100.270166987,65.8153715133667,240.150167581,0.0950623,0.00795773,0.999799,0.10625946807
689.402575161,393.004365909,0.446827533542,264.899608913,63,169.323,24.1211,2448.738306760788,85.8629,-172.756,0.0,37,1.2197160720825195,-0.0587623656194,9.664155960083008,-172.872,169.359,6.38291189121,2.9899e+10,0.14173269271850586,0.446762155914,169.344524445,169.350792094,99.9877259438,66.03196120262146,226.81339418,0.115814,0.00990395,0.999951,0.446827533542
657.976457157,374.257480197,0.691101349054,257.294202987,67,169.731,24.1195,2515.5012571811676,85.9917,-176.543,0.0,38,1.2048978805541992,0.397295938931,9.458289861679077,-176.677,169.762,6.38086120878,2.98516e+10,0.1403064727783203,0.691176026933,169.752325757,169.757014548,88.6332873028,66.63548517227173,168.688775878,0.134033,0.00986487,0.999858,0.691101349054
644.997695061,388.309676703,0.689356110439,263.417414701,64,170.442,24.1198,2582.9037544727325,86.1058,-179.018,0.0,39,1.2246084213256836,0.438157700397,9.77943730354309,-179.143,170.474,6.3849587045,2.98599e+10,0.1429600715637207,0.689141165748,170.461180415,170.467461225,91.303850304,67.28184270858765,193.300895936,0.125244,0.00939847,0.999874,0.689356110439
695.726469204,417.112397477,0.22959370505,274.821243028,59,171.221,24.1187,2649.20978975296,85.8166,-183.583,0.0,40,1.192781686782837,-4.30369853958,9.597685098648071,-183.681,171.253,6.38533539576,2.98285e+10,0.14076781272888184,0.229560383382,171.240614577,171.244809495,102.542377453,66.17266201972961,185.951412013,0.0974884,0.0088396,0.999813,0.22959370505
618.318605028,393.614103147,0.139178486847,265.67421009,63,171.583,24.1174,2716.868509054184,86.3665,-184.937,0.0,41,1.2339189052581787,-12.1779630962,9.919370174407959,-185.046,171.617,6.39227804628,2.97897e+10,0.14472079277038574,0.139088691076,171.601764483,171.607101351,89.1648255475,67.53013110160828,167.470935646,0.108368,0.00924353,0.999736,0.139178486847
688.044084592,404.382393687,0.267671899878,269.507490022,60,172.255,24.1203,2781.2002856731415,85.0871,-181.146,0.0,42,1.2063584327697754,-4.50149027203,9.695669651031494,-181.256,172.288,6.37787821157,2.98743e+10,0.14028382301330566,0.267577440642,172.273075427,172.279286969,92.0350886316,64.20068454742432,246.407845865,0.110168,0.00556031,0.999903,0.267671899878
