AverageAbsY,ProcessExecTime,Entropy,AbsLearnSignalNew,Iteration,AverageQ,ExplainedVariance,LossBefore,MaxReturn,StdReturn,Perplexity,AverageAbsQ,LossAfter,ItrTime,AbsLearnSignal,AverageAbsQYDiff,AverageY,AverageQLoss,MeanKLBefore,dLoss,Time,EnvExecTime,MinReturn,AbsLearnSignalOld,PolicyExecTime,AverageDiscountedReturn,AverageReturn,NumTrajs,MeanKL,AveragePolicyStd
166.458260291,0.15352416038513184,24.125,0.589221813565,53,166.431,0.158239334425,-170.698,688.310937276,93.7038331097,3.00171e+10,166.48,-170.802,56.53382587432861,0.589221813565,6.19068453655,166.446604412,80.989,0.0,0.104141,3051.131809234619,9.443537950515747,214.850513155,0.589175102074,1.1598567962646484,258.946858568,382.910100339,63,0.00984941,1.00018
166.302556519,0.14945650100708008,24.1229,0.338756050988,54,166.273,-0.864614329673,-176.306,798.209707393,113.510573412,2.99525e+10,166.322,-176.37,57.81570863723755,0.338756050988,6.13916069316,166.289800627,79.206,0.0,0.0641479,3109.0902013778687,9.370365142822266,244.342579244,0.338628412132,1.160597562789917,272.412789077,415.143775495,58,0.00458864,1.00006
165.886671517,0.1496431827545166,24.1227,0.544721488582,55,165.86,-0.445512588987,-173.647,660.958463293,104.443268837,2.99461e+10,165.907,-173.755,57.15147519111633,0.544721488582,6.09838090612,165.874878376,78.491,0.0,0.108002,3166.3822889328003,9.097341775894165,204.596066481,0.544645703708,1.1399431228637695,243.263425793,350.874352986,69,0.00982616,1.00004
165.776453539,0.14820599555969238,24.1238,0.697668621105,56,165.748,0.337605777973,-169.27,720.97948092,106.769301324,2.99801e+10,165.794,-169.372,57.85660529136658,0.697668621105,6.07697020432,165.764629493,77.8125,0.0,0.10202,3224.3769977092743,9.304148197174072,184.951529143,0.697901568947,1.1402592658996582,253.54194585,371.120921874,66,0.00995066,1.00011
165.819500631,0.14904212951660156,24.1208,0.446606793545,57,165.789,0.047154225678,-174.16,718.828765904,95.9164964473,2.989e+10,165.835,-174.222,58.102267265319824,0.446606793545,6.0941859913,165.807334018,78.2529,0.0,0.0625305,3282.616692304611,9.284161806106567,228.612127323,0.446338878127,1.151625394821167,259.389026611,381.969001112,64,0.00525663,0.999934
165.573332186,0.14854907989501953,24.1219,0.513826664604,58,165.545,-0.110108864406,-169.395,768.708152136,95.7344205814,2.99226e+10,165.588,-169.489,56.54060959815979,0.513826664604,5.99843921484,165.562260192,75.722,0.0,0.0939941,3339.303515434265,9.163033485412598,182.147543878,0.513523794668,1.1580705642700195,258.093918861,379.284514423,64,0.00968084,0.999998
165.649276237,0.1489267349243164,24.1237,0.296986758843,59,165.621,-4.68252934191,-166.75,550.086104588,74.250689784,2.99772e+10,165.664,-166.865,55.964396953582764,0.296986758843,5.97668750217,165.63880634,75.3151,0.0,0.114365,3395.4097394943237,9.1112220287323,215.586198414,0.296806787593,1.1471481323242188,250.050372739,359.769584342,67,0.00932996,1.00011
165.430299963,0.1481626033782959,24.1238,0.339419504203,60,165.397,-1.02376709766,-175.959,786.920763522,121.460154998,2.99799e+10,165.446,-176.043,56.36406970024109,0.339419504203,5.99272613907,165.417011082,76.1461,0.0,0.0844727,3451.917730808258,9.102058172225952,194.899159172,0.339550285576,1.1425693035125732,265.156636387,401.216221649,60,0.00941481,1.00011
165.304725464,0.14786076545715332,24.125,0.734384981226,61,165.273,0.35554560057,-168.562,953.64257396,129.118744097,3.0017e+10,165.323,-168.644,56.203574657440186,0.734384981226,5.92906354577,165.291185083,74.438,0.0,0.0817261,3508.2569737434387,9.094493627548218,208.6382642,0.734436996978,1.1294169425964355,256.85109358,381.55501952,63,0.0064146,1.00018
165.252850991,0.14641880989074707,24.1255,0.502535843324,62,165.219,-0.405098966507,-171.788,652.539128274,89.7385843168,3.00312e+10,165.267,-171.873,56.05815649032593,0.502535843324,5.8795208892,165.238419933,72.6463,0.0,0.0848236,3564.4534871578217,9.083989143371582,237.682432363,0.502408023225,1.134772777557373,260.358182708,382.151226927,64,0.00959261,1.00021
165.162182379,0.14430809020996094,24.1251,0.70216703068,63,165.127,0.418254679843,-174.793,676.566519938,105.759225578,3.00205e+10,165.174,-174.886,57.074708700180054,0.70216703068,5.84792995687,165.148847441,72.2004,0.0,0.0931549,3621.6714160442352,8.977864980697632,196.95339511,0.702128950801,1.1327967643737793,265.993632253,396.934534091,62,0.00991782,1.00019
164.717153843,0.1456470489501953,24.126,0.664880531388,64,164.68,0.291565949488,-160.3,758.952622251,88.2638268769,3.00463e+10,164.73,-160.396,57.248061656951904,0.664880531388,5.85983595121,164.701407811,72.2741,0.0,0.0964813,3679.0602996349335,8.93526577949524,172.044590891,0.665051441927,1.1440565586090088,244.804474469,350.417624546,68,0.00995517,1.00024
164.803358715,0.14792633056640625,24.1272,0.382705560419,65,164.765,-0.38691795262,-170.324,747.527049415,109.676219123,3.00822e+10,164.812,-170.394,57.193480014801025,0.382705560419,5.84942565667,164.790631304,71.8813,0.0,0.0701141,3736.390482902527,9.058146715164185,191.726331409,0.382040942635,1.1521515846252441,267.031506625,401.686387564,61,0.00759732,1.00031
164.608140604,0.1454026699066162,24.1258,0.507365643029,66,164.563,-0.417510845322,-165.824,769.395086659,104.464571564,3.00414e+10,164.616,-165.922,57.478686809539795,0.507365643029,5.86793893065,164.591055196,72.7694,0.0,0.0982819,3794.010318517685,9.13802981376648,205.768978245,0.507619079762,1.1511809825897217,262.529944366,390.223390492,62,0.00974349,1.00023
164.226001314,0.14664793014526367,24.1251,0.494561881814,67,164.181,-0.144308558918,-164.197,580.735507869,69.8283682989,3.00198e+10,164.24,-164.276,57.36530637741089,0.494561881814,5.85599878455,164.208320858,72.1227,0.0,0.0788422,3851.517044067383,8.980107307434082,222.686231698,0.495129760967,1.1425988674163818,252.188818791,362.17162899,67,0.00676415,1.00019
164.2091287,0.14491844177246094,24.1267,0.622014231177,68,164.16,0.390204499087,-167.146,832.055805399,108.114346365,3.00665e+10,164.212,-167.242,57.57957124710083,0.622014231177,5.82888706847,164.19173364,71.7154,0.0,0.096283,3909.2368195056915,8.984378337860107,252.344281589,0.621538850229,1.13810396194458,262.323863459,389.445150094,62,0.00991431,1.00028
164.308916658,0.14532065391540527,24.1225,0.653112979834,69,164.256,0.413308241832,-163.743,627.217306175,91.019747406,2.9942e+10,164.311,-163.853,56.98300218582153,0.653112979834,5.82513149208,164.289231946,70.9499,0.0,0.109695,3966.362913131714,8.878902673721313,221.977237797,0.65305785322,1.1473889350891113,261.738873025,385.757492414,63,0.00992586,1.00004
164.233291643,0.14320611953735352,24.1257,0.513085870092,70,164.18,0.111748468245,-161.464,590.305893712,91.8722989722,3.00368e+10,164.231,-161.524,57.065245628356934,0.513085870092,5.85466358378,164.213434161,71.913,0.0,0.0601807,4023.5687460899353,8.71885085105896,189.509404475,0.513073759017,1.127450942993164,252.364436569,366.03467731,66,0.002905,1.00022
164.474738498,0.14591121673583984,24.1248,0.218546996277,71,164.434,-4.48642489316,-166.258,682.26862564,108.773479266,3.00106e+10,164.473,-166.323,57.555206537246704,0.218546996277,5.80462185688,164.460715596,71.3025,0.0,0.0645905,4081.2644703388214,8.97291088104248,157.737997643,0.21852913239,1.1412029266357422,251.700726123,368.240664385,65,0.00943387,1.00017
