MinReturn,PolicyExecTime,AverageQLoss,AbsLearnSignalOld,AverageDiscountedReturn,ProcessExecTime,LossAfter,AverageQ,AbsLearnSignalNew,StdReturn,NumTrajs,AverageY,ExplainedVariance,AverageAbsQ,Perplexity,LossBefore,Entropy,EnvExecTime,AveragePolicyStd,dLoss,Iteration,MaxReturn,AverageAbsQYDiff,Time,MeanKL,AverageAbsY,ItrTime,AverageReturn,MeanKLBefore,AbsLearnSignal
215.403793625,1.0624125003814697,78.8453,0.663589401049,251.966208853,0.13756370544433594,-176.32,172.162,0.663765218627,76.1188021232,71,172.176479972,0.515147819506,172.193,2.97916e+10,-176.22,24.1175,9.084895372390747,0.999742,0.099762,44,715.192294231,6.09867377764,2453.085134267807,0.00643245,172.181556011,54.82286286354065,359.882268744,0.0,0.663765218627
215.892651964,1.0682330131530762,77.0513,0.666658794093,269.068747674,0.13868331909179688,-183.148,171.702,0.666863512223,102.67383286,62,171.712753837,0.445878912647,171.73,2.98298e+10,-183.034,24.1188,9.224188566207886,0.999818,0.114471,45,693.84116515,6.03691101761,2508.2376177310944,0.00717979,171.717462926,55.02932929992676,402.273314113,0.0,0.666863512223
186.757728735,1.0659916400909424,75.7296,0.112840597477,265.751361374,0.13331174850463867,-185.902,171.687,0.112878145589,90.6250004576,64,171.701017008,-66.3461886369,171.714,2.97931e+10,-185.799,24.1175,9.16792607307434,0.999746,0.103241,46,601.486550366,5.99252479103,2562.7444672584534,0.0090668,171.705156127,54.38697624206543,392.395625272,0.0,0.112878145589
214.425318715,1.1089301109313965,76.4183,0.584822482863,254.402589117,0.13939213752746582,-182.411,171.744,0.584661316869,88.4489812354,69,171.757327295,0.273412260044,171.772,2.98535e+10,-182.306,24.1196,9.528443336486816,0.999865,0.105652,47,621.42817194,5.99016938499,2617.9003353118896,0.00933873,171.763139734,55.032644748687744,367.163122752,0.0,0.584661316869
145.072067992,1.0752155780792236,73.9377,0.650255472437,252.009886678,0.13773822784423828,-180.35,171.327,0.650288645543,79.4394114477,71,171.339592095,0.338489069854,171.355,2.98184e+10,-180.237,24.1184,9.210455417633057,0.999796,0.113327,48,590.801796606,5.92465618614,2673.3227536678314,0.00981982,171.344114814,55.299981117248535,359.671855591,0.0,0.650288645543
162.782718886,1.0778660774230957,74.3722,0.701251913173,252.755745105,0.13649487495422363,-180.249,170.892,0.701726524502,91.0883387444,68,170.902036478,0.408362637149,170.918,2.98207e+10,-180.135,24.1185,9.066344738006592,0.999802,0.113449,49,571.528552877,5.92881298271,2728.773409843445,0.00971888,170.906262139,55.32802653312683,365.193350868,0.0,0.701726524502
180.736094685,1.0934102535247803,74.7218,0.2153881115,259.268556559,0.13489651679992676,-175.787,170.618,0.215248399294,101.359799085,67,170.627755906,-5.25927109153,170.646,2.9863e+10,-175.659,24.1199,9.393687725067139,0.999885,0.128098,50,751.263674937,5.92736705328,2785.2196683883667,0.00961571,170.632583279,56.32454013824463,378.286115565,0.0,0.215248399294
191.412623312,1.0803043842315674,72.762,0.369110965159,250.180010222,0.13695454597473145,-174.024,170.216,0.369532679655,102.406324959,69,170.228837851,-1.26597429952,170.244,2.97797e+10,-173.925,24.1171,9.240152359008789,0.99972,0.0990753,51,824.784969477,5.85848804591,2839.932792901993,0.00945309,170.233099258,54.591899156570435,360.51822693,0.0,0.369532679655
160.475165285,1.0517301559448242,74.0509,0.498118408099,249.692026715,0.13458704948425293,-178.213,170.352,0.498400090828,142.751678459,69,170.36223651,-0.659261157623,170.382,2.98783e+10,-178.114,24.1204,9.180239915847778,0.999915,0.0993958,52,1335.88593984,5.8842638905,2895.439421892166,0.00977897,170.367439599,55.38639211654663,364.791323855,0.0,0.498400090828
218.89546491,1.0611212253570557,71.8192,0.615681132917,255.980998353,0.13492369651794434,-174.692,170.046,0.615731807888,89.7723838311,68,170.056509896,-0.199008721425,170.075,2.98499e+10,-174.609,24.1194,9.17825436592102,0.999859,0.0824127,53,831.142175989,5.79328845923,2950.4370834827423,0.00705012,170.061934819,54.880943775177,370.198629167,0.0,0.615731807888
