AveragePolicyStd,LossAfter,ProcessExecTime,AbsLearnSignal,NumTrajs,AbsLearnSignalNew,PolicyExecTime,EnvExecTime,AverageQ,Time,ExplainedVariance,AverageAbsQYDiff,MeanKL,MinReturn,ItrTime,dLoss,Entropy,Perplexity,LossBefore,AverageY,MeanKLBefore,AbsLearnSignalOld,AverageAbsY,AverageAbsQ,StdReturn,MaxReturn,AverageReturn,Iteration,AverageQLoss,AverageDiscountedReturn
1.00001,-169.535,0.14567780494689941,0.125292453118,80,0.125292453118,1.051602840423584,8.05247187614441,161.44,1690.69202542305,-28.5593315402,6.59262553442,0.00931558,146.652796462,54.82062077522278,0.133041,24.1221,2.99306e+10,-169.402,161.459882818,0.0,0.125317968561,161.465921212,161.476,90.5401276719,579.533487837,303.542307826,30,90.8079,221.003810981
1.00001,-163.92,0.14664053916931152,0.654819267156,79,0.654819267156,1.0434112548828125,8.131286144256592,160.843,1746.2944903373718,0.123242402016,6.60512781021,0.0099608,144.813226509,55.47995448112488,0.129913,24.1221,2.99279e+10,-163.791,160.858700916,0.0,0.655709251952,160.865014326,160.877,97.4076317863,785.367873519,310.539741441,31,91.0223,224.562108995
1.00003,-168.307,0.1462388038635254,0.624201105206,78,0.624201105206,1.0572855472564697,8.112797498703003,160.433,1801.0025854110718,0.0548015966153,6.62623743829,0.00975999,133.949190741,54.580384254455566,0.151886,24.1225,2.99398e+10,-168.155,160.44793649,0.0,0.623654372234,160.45279681,160.463,100.669235881,692.030782371,318.709939738,32,89.9407,228.960538543
1.00018,-164.869,0.14393353462219238,0.695826933667,80,0.695826933667,1.073270320892334,8.149539232254028,159.687,1856.8465557098389,0.280344429206,6.58679813403,0.00641774,77.4871309793,55.71897602081299,0.0997162,24.1249,3.00143e+10,-164.769,159.707460682,0.0,0.695191282462,159.712724563,159.718,84.5786799976,525.253800369,312.668935306,33,89.463,227.078806179
1.00015,-164.94,0.14915156364440918,0.655611245856,77,0.655611245856,1.0922014713287354,8.484944820404053,159.309,1912.929149389267,0.32220555853,6.51478595329,0.00994087,159.527609385,55.96336483955383,0.134766,24.1245,3.00015e+10,-164.805,159.325992731,0.0,0.655950321286,159.331672281,159.338,96.4280569912,645.4357595,324.251669463,34,86.9452,232.107726215
1.00016,-165.806,0.14575672149658203,0.725894269481,72,0.725894269481,1.0650584697723389,8.28673529624939,158.728,1967.2948093414307,0.424073837676,6.55608236409,0.00989382,182.98463112,54.24460244178772,0.113205,24.1246,3.00056e+10,-165.692,158.745991175,0.0,0.725329658598,158.750055748,158.756,90.8469547312,639.281078232,344.602794633,35,87.5594,242.640692742
1.00018,-167.243,0.14609313011169434,0.712186599854,69,0.712186599854,1.0671253204345703,8.244204759597778,158.612,2022.0986325740814,0.395135237884,6.51834054148,0.00998421,201.933459956,54.67618942260742,0.121552,24.125,3.00148e+10,-167.121,158.628874814,0.0,0.712134812337,158.632135934,158.637,92.1977999611,615.833321355,359.015723289,36,86.4444,250.164895611
1.00013,-163.531,0.14424824714660645,0.706821830121,71,0.706821830121,1.0677530765533447,8.355017185211182,158.691,2077.261472225189,0.322547109399,6.40604285633,0.0099603,165.297094993,55.03773641586304,0.133362,24.124,2.99867e+10,-163.398,158.706973478,0.0,0.706712711728,158.711039821,158.716,94.9505641194,653.342031531,345.86543961,37,83.5188,242.913043195
1.0001,-167.288,0.14683866500854492,0.743975217375,70,0.743975217375,1.0786902904510498,8.406935691833496,159.017,2131.9567635059357,0.498769346846,6.37684072709,0.00985993,165.479444998,54.57052540779114,0.122757,24.1235,2.99718e+10,-167.166,159.031904263,0.0,0.743384629605,159.035555077,159.042,78.1219232461,558.305048667,359.016873706,38,82.1036,251.108021518
1.00005,-165.308,0.14409661293029785,0.720162193131,70,0.720162193131,1.0684032440185547,8.173645973205566,159.329,2186.4737594127655,0.568331106247,6.34933926186,0.00969512,184.498669045,54.395174980163574,0.119202,24.1228,2.99503e+10,-165.189,159.344014501,0.0,0.720450905396,159.347156716,159.352,75.7895226894,536.394149996,349.727035967,39,81.0453,246.43374747
