AverageDiscountedReturn,PolicyExecTime,Perplexity,AveragePolicyStd,AbsLearnSignalNew,NumTrajs,AverageQLoss,AverageY,AverageAbsQYDiff,dLoss,AbsLearnSignalOld,ProcessExecTime,ItrTime,Entropy,EnvExecTime,MaxReturn,AverageAbsY,ExplainedVariance,AverageReturn,LossAfter,AverageQ,MinReturn,Time,StdReturn,AverageAbsQ,MeanKLBefore,AbsLearnSignal,LossBefore,Iteration,MeanKL
195.11994859,0.851433515548706,1736.92,0.853524,0.759249198042,5,94.3955,292.377047362,3.27787776127,0.03479,0.758576755223,0.09230709075927734,38.30064630508423,7.45987,1.724757194519043,2745.56846392,292.616301118,0.743205868862,2609.46865358,-312.71,292.372,2426.52816979,12848.546064853668,105.303365808,292.609,0.0,0.759249198042,-312.675,341,0.00987388
193.573615324,0.815305233001709,1730.14,0.853119,0.759755605451,5,105.008,292.392468118,3.33096373767,0.0216064,0.759886346455,0.09199738502502441,38.24355435371399,7.45596,1.7207355499267578,2752.71193303,292.62878702,0.71142361393,2601.83095046,-313.828,292.386,2521.94160612,12886.906571388245,85.1793840296,292.62,0.0,0.759755605451,-313.806,342,0.00972818
217.071052639,0.7900655269622803,1719.84,0.852402,0.786946443209,5,99.0658,292.735145693,3.31549835504,0.0378418,0.787706960751,0.0890967845916748,38.153170347213745,7.44999,1.6771354675292969,2758.60913629,292.972014906,0.765030512941,2592.35036686,-313.974,292.728,2484.88351902,12925.185961484909,100.690142225,292.962,0.0,0.786946443209,-313.936,343,0.00998601
188.376404235,0.7786507606506348,1714.91,0.85213,0.783762346065,5,105.685,292.505653919,3.35945514017,0.0268555,0.783963784733,0.10935735702514648,38.40499973297119,7.44712,1.675811529159546,2814.82400245,292.749364798,0.757486974338,2547.50731334,-312.201,292.501,2221.26984474,12963.750946998596,198.889700785,292.742,0.0,0.783762346065,-312.174,344,0.00993855
213.263954411,0.8058679103851318,1705.82,0.851427,0.794454022238,5,105.695,292.921137863,3.32801894181,0.0331116,0.79555409652,0.09912776947021484,38.380778551101685,7.4418,1.676790475845337,2857.48905497,293.159754148,0.740218672655,2652.67304123,-315.931,292.914,2494.70258212,13002.257760286331,141.648914106,293.15,0.0,0.794454022238,-315.898,345,0.00991585
207.834547224,0.7908849716186523,1703.52,0.851402,0.61747183995,5,104.987,293.202383494,3.35350349942,0.0328369,0.617829016196,0.08973169326782227,38.29572081565857,7.44045,1.6929666996002197,2736.03669729,293.437688269,0.790910508521,2292.46207007,-270.92,293.199,828.197240209,13040.665050268173,733.400619646,293.432,0.0,0.61747183995,-270.888,346,0.00985102
199.345949219,0.7886312007904053,1702.7,0.851387,0.753101973329,5,102.823,293.327375009,3.32140134093,0.0359802,0.752657537278,0.0927133560180664,38.43872141838074,7.43997,1.691974401473999,2707.96336344,293.561383985,0.727310594694,2610.35470039,-315.62,293.32,2373.4303677,13079.264512062073,122.663885391,293.551,0.0,0.753101973329,-315.584,347,0.00987589
213.649044472,0.7946360111236572,1702.74,0.851448,0.782774030056,5,103.346,293.652590577,3.28146746863,0.0370178,0.784898565689,0.09031438827514648,38.27314615249634,7.43999,1.6785697937011719,2881.32808184,293.877455621,0.794445120345,2654.98967419,-316.973,293.647,2442.82022663,13117.650466918945,161.175393967,293.868,0.0,0.782774030056,-316.936,348,0.00658958
201.413599239,0.8064115047454834,1698.03,0.851157,0.776893152836,5,106.084,293.49750815,3.29116163461,0.0405579,0.776437254188,0.0972602367401123,38.37021017074585,7.43723,1.700526237487793,2863.72103814,293.709237411,0.778656394656,2635.33130632,-315.611,293.492,2497.90849125,13156.137716770172,123.277898791,293.701,0.0,0.776893152836,-315.57,349,0.00971648
228.014056855,0.7902276515960693,1697.19,0.851043,0.770103401331,5,104.978,293.577362537,3.24583947251,0.024231,0.76913332603,0.11310529708862305,38.21681189537048,7.43673,1.6908597946166992,2954.88136577,293.787083295,0.780647108742,2635.40596294,-314.19,293.572,2381.03932908,13194.471556901932,200.752293564,293.778,0.0,0.770103401331,-314.166,350,0.00642576
