NumTrajs,LossBefore,Perplexity,Time,AverageQ,AbsLearnSignal,MinReturn,StdReturn,PolicyExecTime,AveragePolicyStd,AverageReturn,AverageAbsQ,Iteration,ExplainedVariance,AverageQLoss,AverageAbsQYDiff,ProcessExecTime,AbsLearnSignalOld,AverageAbsY,EnvExecTime,MaxReturn,AverageY,AverageDiscountedReturn,MeanKL,LossAfter,Entropy,MeanKLBefore,AbsLearnSignalNew,dLoss,ItrTime
59,-196.265,2.97045e+10,10038.52283334732,182.365,0.652630913421,237.298357372,115.885989127,1.1649363040924072,0.999575,412.163683808,182.7,184,0.307552605731,705.74,12.6181553143,0.14269709587097168,0.652587136075,182.990966727,10.32511591911316,766.604648711,182.429344125,270.285826401,0.00989457,-196.431,24.1146,0.0,0.652630913421,0.166519,60.47164750099182
58,-193.635,2.97358e+10,10098.695690631866,178.524,0.560468873008,245.328732626,98.1100359965,1.1496243476867676,0.999637,422.004961345,178.987,185,0.242451283727,898.926,13.702438033,0.13995361328125,0.558980944418,179.305386823,10.292622804641724,666.328312427,178.583921513,276.077188558,0.00640285,-193.784,24.1156,0.0,0.560468873008,0.149155,60.019097566604614
57,-194.74,2.97381e+10,10154.489316225052,172.948,0.697013200373,261.615967102,94.3363280373,1.0570292472839355,0.999642,429.164108339,173.507,186,0.622363522167,997.297,14.3786650893,0.1324172019958496,0.696562188108,173.855483246,9.843959331512451,711.635245772,173.012659532,279.318418645,0.006412,-194.908,24.1157,0.0,0.697013200373,0.167572,55.652519941329956
60,-197.786,2.97264e+10,10209.537650346756,167.473,0.657177845184,270.821644421,87.8441337475,1.0699830055236816,0.999619,410.556961558,168.433,187,0.578403255307,1046.15,14.5623980979,0.13800954818725586,0.655553833367,168.912541844,10.059499740600586,662.627177365,167.523443447,271.609023674,0.00641549,-197.965,24.1153,0.0,0.657177845184,0.178955,54.91803789138794
60,-207.89,2.97298e+10,10267.391361236572,166.239,0.702885096559,257.293405047,91.9854399342,1.1187455654144287,0.999626,406.892823826,167.999,188,0.550453155724,1172.17,15.1445942497,0.1388990879058838,0.702054467795,168.553478278,10.344076871871948,604.384665753,166.290930758,270.429588316,0.00640449,-208.097,24.1154,0.0,0.702885096559,0.206345,57.712520360946655
59,-212.784,2.97267e+10,10322.987751960754,169.724,0.611091447876,262.444875807,100.145245436,1.142183542251587,0.99962,420.49133492,171.814,189,0.324618623036,1399.53,16.0168753355,0.1418149471282959,0.609441005159,172.501535842,10.46970796585083,846.456905016,169.793639903,276.11506445,0.00641778,-213.011,24.1153,0.0,0.611091447876,0.226624,55.45754647254944
61,-212.029,2.9714e+10,10380.966811180115,178.043,0.486977694744,246.520198739,91.4360005103,1.094799518585205,0.999595,401.348001027,179.998,190,-0.0391564983106,1985.14,18.0789125244,0.13706755638122559,0.485558857833,180.810769276,10.103801012039185,656.736670936,178.176110424,267.930462705,0.00980577,-212.31,24.1149,0.0,0.486977694744,0.281647,57.85050320625305
62,-218.285,2.97127e+10,10438.734636306763,186.206,0.683628243392,241.679573306,95.5327160639,1.140716314315796,0.999592,395.21191832,187.934,191,0.552064032814,2411.65,19.5799761292,0.14349961280822754,0.682593831474,188.729479135,10.278239727020264,806.35724179,186.344256919,265.443108087,0.00999991,-218.531,24.1148,0.0,0.683628243392,0.245972,57.63772630691528
59,-212.429,2.97179e+10,10496.463095903397,193.135,0.534967520316,248.728354094,112.305294687,1.1289360523223877,0.999603,415.441611321,195.235,192,-0.591372913875,2904.97,21.4614804312,0.138045072555542,0.534289016135,196.015222166,10.315528392791748,753.533317385,193.295341944,273.021079851,0.00995024,-212.633,24.115,0.0,0.534967520316,0.203415,57.58953404426575
62,-221.061,2.9719e+10,10557.369921922684,194.683,0.609588221379,246.458308703,80.9387607539,1.173656940460205,0.999605,401.089589456,197.941,193,0.428788266963,3295.47,22.5519010736,0.14786624908447266,0.606946636157,198.874891235,10.264071941375732,599.957764613,194.838841609,269.523599072,0.00989801,-221.278,24.1151,0.0,0.609588221379,0.216766,60.7503924369812
