AverageAbsQ,AverageDiscountedReturn,MaxReturn,AbsLearnSignalOld,AverageAbsQYDiff,Time,AbsLearnSignalNew,dLoss,AverageY,AverageQLoss,Perplexity,ExplainedVariance,Iteration,NumTrajs,MeanKL,LossAfter,ProcessExecTime,MinReturn,AverageReturn,PolicyExecTime,AveragePolicyStd,LossBefore,Entropy,EnvExecTime,AverageAbsY,MeanKLBefore,StdReturn,ItrTime,AverageQ,AbsLearnSignal
364.491,274.454629533,3829.0087966,0.686692108724,2.95999993194,46764.75715684891,0.687183924571,0.03479,364.447708229,146.678,937.45,0.814857039942,1365,5,0.00977803,-377.541,0.08981657028198242,3522.51767621,3647.8547073,0.661799430847168,0.790686,-377.506,6.84316,1.5660405158996582,364.495365359,0.0,106.400079287,33.245585203170776,364.443,0.687183924571
364.673,271.342365878,3779.96995323,0.700213284455,2.98601355254,46798.02295398712,0.700766557999,0.0461426,364.624774687,153.431,935.713,0.843536680081,1366,5,0.00998315,-377.5,0.0947871208190918,3504.20239574,3667.607193,0.6600146293640137,0.79046,-377.454,6.84131,1.5693364143371582,364.674079142,0.0,99.3191333142,33.146610260009766,364.623,0.700766557999
364.43,291.914425268,3721.51509675,0.485690650319,3.02478134667,46831.21755695343,0.485728249259,0.0483704,364.384100653,151.054,935.116,0.245568170694,1367,5,0.00978849,-356.488,0.09621405601501465,2793.23446292,3432.21846406,0.6796252727508545,0.790399,-356.439,6.84067,1.5819504261016846,364.433363282,0.0,334.698890785,33.070833921432495,364.381,0.485728249259
364.839,270.990015508,3822.35392274,0.724326857805,2.97367151848,46864.311482191086,0.724612563122,0.0306396,364.795999042,140.699,935.135,0.749676856689,1368,5,0.00643512,-375.732,0.08950519561767578,3294.7943691,3581.80952056,0.6510570049285889,0.790431,-375.701,6.84069,1.565436601638794,364.84172766,0.0,199.305107357,32.97482490539551,364.793,0.724612563122
365.252,286.771566535,3988.65652398,0.724997499256,2.94697114146,46897.57198190689,0.724931920927,0.0313721,365.208621121,137.416,935.263,0.870052481735,1369,5,0.00642924,-379.402,0.09009790420532227,3555.98711788,3688.83274142,0.6327629089355469,0.790451,-379.37,6.84083,1.5609619617462158,365.255222845,0.0,160.093561153,33.136919260025024,365.205,0.724931920927
365.029,267.129324597,3924.16921815,0.568928541202,2.96656800482,46930.66828393936,0.568770980034,0.0376587,364.983275343,147.092,935.092,0.392668029399,1370,5,0.00989848,-340.971,0.09284853935241699,1947.26894179,3280.78495331,0.6856734752655029,0.790431,-340.934,6.84065,1.5850567817687988,365.032067048,0.0,687.514162349,32.977545738220215,364.98,0.568770980034
365.084,275.580947617,3670.19985671,0.711291977297,3.03451388945,46963.813935518265,0.711283853531,0.0302429,365.042541924,156.891,934.846,0.776001802206,1371,5,0.00640523,-375.848,0.0871133804321289,3503.87014851,3586.7265446,0.6243369579315186,0.79042,-375.818,6.84038,1.5505006313323975,365.089028585,0.0,55.631596449,33.0253529548645,365.038,0.711283853531
364.977,256.655147956,3810.06102185,0.764847892089,2.98659058799,46996.88605952263,0.76505393325,0.0373535,364.939619912,151.439,934.885,0.783058688453,1372,5,0.00656504,-375.067,0.08942794799804688,3343.13833148,3551.08665504,0.6527378559112549,0.790422,-375.03,6.84042,1.5658681392669678,364.978934984,0.0,162.274706297,32.95162796974182,364.938,0.76505393325
364.719,276.78181764,3751.74387051,0.601128266694,3.00024568605,47030.36219763756,0.600977352905,0.0376587,364.679397358,150.241,934.143,0.644456993888,1373,5,0.00997816,-325.996,0.09748458862304688,2412.45670681,3198.08816415,0.7095396518707275,0.790338,-325.958,6.83963,1.5845832824707031,364.723145718,0.0,579.236658387,33.34726309776306,364.675,0.600977352905
364.584,264.057679777,3772.93454371,0.668427089714,3.01852646878,47063.689118385315,0.667716872952,0.03125,364.541700162,151.874,933.691,0.716406645038,1374,5,0.00646046,-375.552,0.09486961364746094,3405.13855662,3562.39785995,0.6924939155578613,0.790308,-375.521,6.83915,1.5806028842926025,364.587493539,0.0,147.390625711,33.204078912734985,364.539,0.667716872952
365.074,294.520777284,3775.8475122,0.729356862237,2.91283593498,47096.93552565575,0.730150275402,0.0325928,365.044669696,133.789,934.095,0.863830348046,1375,5,0.0099839,-379.699,0.08598756790161133,3617.02002185,3689.56839775,0.6468510627746582,0.790353,-379.667,6.83958,1.5718064308166504,365.076144149,0.0,55.2483614787,33.1138129234314,365.042,0.730150275402
