AverageQLoss,ExplainedVariance,ItrTime,Time,AbsLearnSignalNew,AveragePolicyStd,MaxReturn,LossAfter,Iteration,dLoss,NumTrajs,MeanKLBefore,Perplexity,Entropy,AverageQ,AverageAbsQYDiff,AverageAbsQ,ProcessExecTime,PolicyExecTime,AverageAbsY,AbsLearnSignal,StdReturn,MeanKL,AbsLearnSignalOld,MinReturn,EnvExecTime,LossBefore,AverageReturn,AverageDiscountedReturn,AverageY
143.252,0.827369603763,39.34777331352234,83322.43223452568,0.643226310307,0.852113,3589.06234,-277.286,2023,0.0411072,5,0.0,1841.36,7.51826,326.856,3.92328165779,331.834,0.12357354164123535,0.9221317768096924,331.841045706,0.643226310307,1542.19386063,0.0064071,0.643523350658,-434.823430963,1.5728929042816162,-277.245,2628.72020726,216.627171423,326.859956245
124.867,-1.01381184844,39.66897678375244,83362.23493003845,0.531136709543,0.852057,3819.78043492,-305.182,2024,0.0553894,5,0.0,1840.57,7.51783,326.249,3.85257818659,331.397,0.12204790115356445,0.9201631546020508,331.406239663,0.531136709543,987.974349165,0.00997161,0.531073587547,1092.07915297,1.5540180206298828,-305.126,3021.36777283,268.829539731,326.252103687
141.995,0.678787876179,39.63070559501648,83402.0003786087,0.742812252088,0.852066,3439.55899631,-281.223,2025,0.0371704,5,0.0,1840.61,7.51785,326.396,3.92551824098,331.508,0.12059569358825684,0.9112071990966797,331.513937198,0.742812252088,1362.07247172,0.00640586,0.742810348589,-18.9138842379,1.5652649402618408,-281.186,2701.65607471,271.031594518,326.39862424
143.786,0.737683451223,39.674938678741455,83441.8120393753,0.727218749151,0.851957,3764.7280313,-353.092,2026,0.0452271,5,0.0,1839.33,7.51716,326.217,3.92038005362,331.343,0.11961221694946289,0.9307866096496582,331.350856645,0.727218749151,186.543646838,0.00994288,0.726781017751,3213.20067527,1.5719192028045654,-353.047,3541.09628192,265.496004636,326.220364987
151.417,0.837232673055,39.901580572128296,83481.84641456604,0.758820926938,0.85196,3603.2579849,-350.505,2027,0.034668,5,0.0,1839.34,7.51716,325.919,3.97976788019,331.095,0.12375068664550781,0.9289231300354004,331.101144314,0.758820926938,135.55134182,0.0064277,0.760916302427,3257.12350242,1.5674593448638916,-350.47,3460.71465346,265.003699777,325.921148283
134.605,-1.74263637677,39.62242770195007,83521.60190916061,0.533311154647,0.851954,3375.32523421,-235.497,2028,0.050293,5,0.0,1839.12,7.51704,325.819,3.89649416039,330.984,0.12275838851928711,0.9255270957946777,330.991849779,0.533311154647,901.684795969,0.00640535,0.533314928231,1159.14733856,1.5750083923339844,-235.446,2225.56645753,253.831961423,325.824004249
140.142,0.227336920093,39.66428184509277,83561.39645266533,0.672987140392,0.85202,3760.41200304,-356.201,2029,0.0363159,5,0.0,1839.93,7.51748,326.674,3.95365225872,331.667,0.12385964393615723,0.948742151260376,331.675178511,0.672987140392,90.2535698228,0.00642345,0.672785521652,3508.07154164,1.5753216743469238,-356.164,3627.14690622,280.67934917,326.676345577
136.037,0.617318526974,40.08607625961304,83601.61664390564,0.754613088891,0.851968,3628.70906216,-234.622,2030,0.0492554,5,0.0,1839.18,7.51708,326.156,3.90374642978,331.269,0.1205909252166748,0.9279496669769287,331.274061111,0.754613088891,1579.16201553,0.00997548,0.755023111318,196.712254921,1.5710599422454834,-234.573,2240.59489196,244.338180303,326.159470861
130.761,0.650778805692,39.59957551956177,83641.34986233711,0.680006345807,0.851977,3705.83962726,-340.256,2031,0.0486755,5,0.0,1839.13,7.51705,326.417,3.84431205678,331.508,0.1249856948852539,0.9331469535827637,331.511818468,0.680006345807,355.209435932,0.00998255,0.680194546692,2740.63640521,1.5638394355773926,-340.207,3428.00942146,257.601479611,326.418670971
121.404,0.816493978947,39.60002255439758,83681.08809399605,0.719424159251,0.85184,3395.66057672,-345.914,2032,0.0507507,5,0.0,1837.36,7.51609,326.369,3.842177666,331.519,0.12130498886108398,0.9199554920196533,331.528438085,0.719424159251,30.3048253858,0.00997881,0.719841550373,3322.04424217,1.5587189197540283,-345.864,3362.60051963,249.778835515,326.373692063
