LossAfter,AverageAbsY,StdReturn,MinReturn,ItrTime,Entropy,AverageDiscountedReturn,Iteration,NumTrajs,dLoss,AbsLearnSignalNew,LossBefore,AbsLearnSignalOld,PolicyExecTime,MeanKL,AverageAbsQ,AverageReturn,AverageQ,AbsLearnSignal,AverageAbsQYDiff,AverageY,AveragePolicyStd,Time,EnvExecTime,MaxReturn,ProcessExecTime,ExplainedVariance,AverageQLoss,Perplexity,MeanKLBefore
-34.404,25.1460007488,131.076476029,310.910701945,39.53249406814575,8.12279,53.7540584272,48,5,0.0721054,0.772171382308,-34.3319,0.77308652558,0.9598684310913086,0.00986677,25.1327,556.387963597,15.4332,0.772171382308,1.25072822506,15.4370711167,0.937639,1947.4900574684143,1.6066594123840332,705.519195876,0.1160116195678711,0.513759406645,3.39832,3370.4,0.0
-34.7061,26.8220437066,269.743836042,42.7483370056,39.254082679748535,8.11151,39.8412715102,49,5,0.0580063,0.782596237058,-34.6481,0.780740448718,0.9433102607727051,0.00650095,26.8098,522.711334678,17.3553,0.782596237058,1.27668344287,17.3590491751,0.935852,1986.8786981105804,1.593456506729126,849.82946016,0.11667418479919434,0.598829028351,3.69485,3332.62,0.0
-43.2848,28.5797559422,75.3521642632,523.667719025,39.278873682022095,8.10728,53.9463251123,50,5,0.0753784,0.775051784939,-43.2094,0.775918001158,0.9507884979248047,0.00994327,28.5684,648.519265222,19.4627,0.775051784939,1.29310747327,19.4666330467,0.935255,2026.2930083274841,1.5989975929260254,756.851100582,0.11843538284301758,0.477895644234,3.73918,3318.54,0.0
-42.5252,30.4427454713,208.72158209,241.332847986,39.538986921310425,8.09195,64.0474967375,51,5,0.0772591,0.768196664408,-42.448,0.766061156472,0.938737154006958,0.00998594,30.4316,654.281542372,21.5785,0.768196664408,1.32644070841,21.5823474943,0.932947,2065.963112592697,1.5859737396240234,796.961147738,0.11645126342773438,0.258526584525,4.07155,3268.06,0.0
-46.011,32.510100152,182.81976493,354.16587573,39.57240629196167,8.08465,57.5193237594,52,5,0.060112,0.789845250615,-45.9508,0.788962099461,0.9496273994445801,0.00646937,32.4988,632.510439598,23.9687,0.789845250615,1.35369645585,23.9729291844,0.931869,2105.6723263263702,1.5893945693969727,912.233585722,0.1195216178894043,0.516844620217,4.2207,3244.28,0.0
-51.9674,34.5824353196,70.2290583035,642.54513945,39.69009757041931,8.06955,55.5268449681,53,5,0.0757446,0.782192720779,-51.8917,0.78210299288,0.9533877372741699,0.00988425,34.5714,732.553831754,26.2658,0.782192720779,1.37697392166,26.2701259972,0.929536,2145.496369600296,1.596520185470581,815.566075153,0.11920428276062012,0.510973505771,4.53291,3195.65,0.0
-47.2143,36.6572616094,350.053337678,-23.7586517314,39.782856702804565,8.0619,63.8954668705,54,5,0.0743752,0.759655084628,-47.1399,0.759339519276,0.9426050186157227,0.00996152,36.6467,662.783128221,28.5524,0.759655084628,1.40842268859,28.5570957297,0.928346,2185.412289381027,1.5845532417297363,944.266074207,0.11733770370483398,0.629280453248,4.87133,3171.3,0.0
-63.3232,39.0479152188,118.667451824,782.164699769,39.7153742313385,8.04235,67.3991318736,55,5,0.0849495,0.793020435533,-63.2382,0.794000869856,0.9506969451904297,0.00999072,39.038,900.608571235,31.2344,0.793020435533,1.41950234412,31.2390708644,0.925337,2225.265588283539,1.594007968902588,1112.32779079,0.1178131103515625,0.369981852296,5.10313,3109.91,0.0
-37.1302,41.0849890999,333.634580877,212.269223537,39.36491775512695,8.03159,77.2136188201,56,5,0.0760117,0.70578857948,-37.0542,0.705767533694,0.9476659297943115,0.00988069,41.0758,627.218388605,33.4259,0.70578857948,1.44672686562,33.4300941666,0.923759,2264.765683889389,1.5904872417449951,1078.1957054,0.11673474311828613,0.467430187267,5.43545,3076.64,0.0
-70.2349,43.5274198163,70.1940975473,873.31823458,39.630640506744385,8.01997,81.9004331035,57,5,0.0787048,0.729437044694,-70.1562,0.729216558874,0.9351305961608887,0.00997787,43.5167,967.432698555,36.1582,0.729437044694,1.48385319384,36.1630554091,0.921912,2304.5270590782166,1.5931611061096191,1084.93779283,0.1153559684753418,0.273862460552,5.78612,3041.07,0.0
