MinReturn,MeanKLBefore,AbsLearnSignal,Perplexity,Entropy,ProcessExecTime,LossAfter,ExplainedVariance,AverageReturn,Time,PolicyExecTime,AverageDiscountedReturn,Iteration,MaxReturn,NumTrajs,MeanKL,StdReturn,EnvExecTime,LossBefore,dLoss,ItrTime,AveragePolicyStd
5.08276831501,0.0,0.670262508436,13.7205,2.61889,0.09522724151611328,-0.0417167,0.763300541624,1492.98735617,7049.522594451904,0.7888476848602295,171.973746807,1930,2259.50024174,5,0.00640493,782.875686006,1.7266461849212646,-1.41144e-08,0.0417167,3.7341508865356445,0.383715
854.873337485,0.0,0.687063838039,13.6196,2.61151,0.08391475677490234,-0.0532924,0.769188446727,1388.00651267,7053.140718460083,0.7365672588348389,174.464240113,1931,2224.55828926,5,0.00997785,492.953700568,1.700242042541504,-8.72612e-09,0.0532924,3.6123437881469727,0.383273
332.167127374,0.0,0.700145400847,13.6895,2.61663,0.09602904319763184,-0.0387849,0.813651238223,1316.80063006,7056.926009178162,0.7257862091064453,194.607051946,1932,2240.50216405,5,0.00640971,777.045607696,1.7050731182098389,5.49316e-08,0.0387849,3.679370641708374,0.38362
-43.4839650319,0.0,0.700169324109,13.6347,2.61262,0.09417438507080078,-0.0462899,0.705078527833,1640.36533956,7060.555978298187,0.7188701629638672,173.664092253,1933,2114.96718287,5,0.00998999,842.84888765,1.6927602291107178,-2.13623e-08,0.0462899,3.6252267360687256,0.38332
304.336573598,0.0,0.587353059701,13.7226,2.61904,0.09159064292907715,-0.0604724,0.791386242133,1539.22733514,7064.236062049866,0.7051098346710205,179.930260282,1934,2441.13615928,5,0.00993862,817.368872939,1.682694911956787,-1.18732e-08,0.0604724,3.675056219100952,0.383699
-476.770034749,0.0,0.763580015646,13.7099,2.61812,0.0939333438873291,-0.0507313,0.722646339802,1136.17180982,7067.937050819397,0.7055871486663818,108.100867533,1935,2376.38447994,5,0.00999778,1283.31443734,1.7105576992034912,-4.1008e-08,0.0507313,3.5958611965179443,0.383499
1942.93635174,0.0,0.689488803507,13.6776,2.61576,0.09226751327514648,-0.0402308,0.433192660724,2132.09191568,7071.53240442276,0.7099406719207764,177.443829005,1936,2300.71480875,5,0.00994082,137.613763558,1.7030627727508545,-7.62939e-10,0.0402308,3.5896120071411133,0.383325
586.925669353,0.0,0.746416819715,13.668,2.61506,0.09734535217285156,-0.0530426,0.517813654305,1467.4838377,7075.2176966667175,0.7342386245727539,169.703749467,1937,2088.2843644,5,0.00996282,713.679805813,1.7087631225585938,3.24249e-09,0.0530426,3.680738925933838,0.383358
-176.406437293,0.0,0.681277211831,13.7559,2.62146,0.10231184959411621,-0.0528456,0.789280664882,1118.9544242,7078.933747053146,0.773500919342041,147.72206652,1938,1719.81998636,5,0.00999794,747.067813844,1.744701623916626,1.02043e-08,0.0528456,3.6059134006500244,0.383748
-368.668364446,0.0,0.698316246999,13.7848,2.62357,0.1013193130493164,-0.0378509,0.717881323886,1544.59339141,7082.615355014801,0.7590582370758057,138.357140009,1939,2341.14657541,5,0.00642935,994.032215282,1.7379894256591797,-5.95093e-08,0.0378508,3.677093744277954,0.383926
582.868577711,0.0,0.719504539011,13.6735,2.61546,0.10434246063232422,-0.0493324,0.739934031504,1561.194312,7086.269130945206,0.786996603012085,165.817043946,1940,2270.5323159,5,0.00996845,760.988918353,1.7250010967254639,-1.38283e-08,0.0493324,3.650402545928955,0.383422
403.936672167,0.0,0.698465930443,13.5883,2.60921,0.10313892364501953,-0.0399889,0.766937849393,1515.94826478,7089.975671291351,0.7869982719421387,184.836061249,1941,2118.11864418,5,0.00640096,657.809094491,1.7149951457977295,1.51634e-08,0.039989,3.5998973846435547,0.383012
-20.854402853,0.0,0.697274559492,13.5722,2.60803,0.09869790077209473,-0.0495902,0.799507867061,1554.21048545,7093.537257671356,0.7889399528503418,162.732254145,1942,2367.16724877,5,0.00995591,834.650252663,1.7386605739593506,5.62668e-09,0.0495902,3.5569121837615967,0.382942
-293.153810409,0.0,0.790805866735,13.5439,2.60594,0.10149502754211426,-0.03635,-0.0367660101554,1631.04552524,7097.085106372833,0.7362697124481201,155.180139467,1943,2206.0927546,5,0.00640208,965.633185378,1.7280941009521484,-2.67029e-08,0.03635,3.5436761379241943,0.38285
-380.559072526,0.0,0.641711926493,13.6535,2.614,0.10544538497924805,-0.0537885,0.78818614671,798.090971391,7100.922301054001,0.8168327808380127,124.118223648,1944,2173.01455683,5,0.00998983,1114.46870398,1.7508058547973633,9.72748e-09,0.0537885,3.72102952003479,0.383537
722.878609545,0.0,0.712779772075,13.6207,2.61159,0.10310196876525879,-0.0406416,0.682691182825,1701.75249492,7104.510322093964,0.766564130783081,170.233025743,1945,2073.11303966,5,0.00641675,499.176799139,1.708252191543579,1.12534e-08,0.0406416,3.583052158355713,0.383325
296.385261855,0.0,0.722341045707,13.5554,2.60679,0.09595417976379395,-0.0528009,0.763785532522,1707.94166116,7108.107485771179,0.7666890621185303,174.722254757,1946,2249.36376375,5,0.00998112,721.750277533,1.7217345237731934,-5.18799e-08,0.0528008,3.592219352722168,0.382969
104.572984284,0.0,0.751380168069,13.4548,2.59933,0.09322452545166016,-0.0601097,0.659840450636,1051.90297019,7111.776968717575,0.7578504085540771,159.725125911,1947,2016.23938761,5,0.00994915,806.279943609,1.7127301692962646,-8.01086e-09,0.0601096,3.5610742568969727,0.382455
-476.994634563,0.0,0.677030728709,13.4861,2.60166,0.09290742874145508,-0.0437273,0.827679316235,1048.72793138,7115.280122995377,0.7358236312866211,124.659300411,1948,2045.90828204,5,0.00641019,948.883773794,1.6764612197875977,-1.71661e-08,0.0437273,3.4990713596343994,0.382645
419.711057422,0.0,0.614225571997,13.4605,2.59976,0.09415960311889648,-0.0477432,0.799643294549,1293.32295164,7118.755321025848,0.7295832633972168,179.827451098,1949,2260.62570851,5,0.00992829,644.679180963,1.7123844623565674,-1.71661e-09,0.0477432,3.469980001449585,0.382518
-426.512359821,0.0,0.644616271042,13.4888,2.60186,0.0979611873626709,-0.0414664,0.768433162547,745.706636109,7122.387049436569,0.7456076145172119,116.954362092,1950,2071.47939113,5,0.00645087,1031.33644845,1.6996831893920898,2.53677e-08,0.0414664,3.524168014526367,0.382779
-377.94153883,0.0,0.651090407545,13.4164,2.59648,0.09491991996765137,-0.038331,0.768976358441,1369.9433419,7126.04358458519,0.7765848636627197,144.921077817,1951,2298.74003626,5,0.00642148,988.570487499,1.7472684383392334,-4.00543e-09,0.038331,3.6520659923553467,0.382484
-103.663428171,0.0,0.6689167535,13.444,2.59854,0.09248495101928711,-0.056438,0.778423989965,1199.63922655,7129.615897893906,0.7660732269287109,167.913739391,1952,2310.98946467,5,0.00998162,937.517358369,1.7133870124816895,1.52588e-09,0.056438,3.567561149597168,0.38262
-217.281780604,0.0,0.64202253845,13.4793,2.60115,0.09015154838562012,-0.0407013,0.77847474885,1517.15081968,7133.31080198288,0.7449345588684082,164.058112862,1953,2319.95292448,5,0.00640192,908.919456821,1.7413041591644287,-3.8147e-09,0.0407013,3.588416814804077,0.382782
-320.911549366,0.0,0.670437388452,13.4569,2.59949,0.08794951438903809,-0.0578912,0.765690917776,952.343198927,7136.804154157639,0.7341406345367432,134.620781655,1954,2170.02140455,5,0.00998719,1032.46365842,1.7096490859985352,-9.91821e-09,0.0578912,3.4880564212799072,0.382583
-394.575774887,0.0,0.652183353772,13.4095,2.59596,0.08741569519042969,-0.0388099,0.797604894832,1278.31905298,7140.419088125229,0.7796964645385742,134.364135097,1955,2353.04500755,5,0.0064289,1090.90474907,1.742034673690796,1.05858e-08,0.0388099,3.6114583015441895,0.382387
679.352727436,0.0,0.670811092866,13.3731,2.59324,0.10155487060546875,-0.050468,0.76638200356,1620.31588559,7144.172212362289,0.7842497825622559,148.690093855,1956,2073.28715545,5,0.00995102,538.074420968,1.7292377948760986,9.53674e-09,0.0504681,3.6365044116973877,0.382339
387.042072985,0.0,0.690396449794,13.305,2.58814,0.09326171875,-0.0397711,0.756344434468,1414.51213239,7147.847959756851,0.7952032089233398,169.200859594,1957,2167.26301843,5,0.00641514,804.03052739,1.7167932987213135,7.53403e-09,0.0397711,3.6724302768707275,0.382051
1961.80666921,0.0,0.710442657682,13.2987,2.58767,0.09683346748352051,-0.0493639,0.568431044988,2115.17072998,7151.502837896347,0.8231468200683594,181.639631493,1958,2236.52913037,5,0.00999834,96.3928043101,1.7399511337280273,-3.05176e-09,0.0493639,3.649359703063965,0.382008
1597.61072652,0.0,0.73389472241,13.2997,2.58774,0.08925843238830566,-0.047311,0.751015234624,1978.71009567,7155.168439626694,0.7676692008972168,160.429890553,1959,2107.3304309,5,0.00998883,196.098922077,1.7248914241790771,-8.01086e-09,0.047311,3.551755905151367,0.382048
1880.88170238,0.0,0.727484829479,13.2064,2.5807,0.08422255516052246,-0.0387474,0.659493798802,2046.14362085,7158.643375635147,0.7374064922332764,161.533951483,1960,2236.68168437,5,0.0064063,135.805389941,1.7027466297149658,-4.48227e-09,0.0387474,3.470367431640625,0.381639
476.056013468,0.0,0.728869731174,13.2584,2.58463,0.10213637351989746,-0.0520463,0.591936241725,1760.11591533,7162.19565820694,0.7599163055419922,164.585747681,1961,2295.17051801,5,0.00997278,652.281907039,1.6882545948028564,-1.10626e-08,0.0520463,3.5469162464141846,0.381963
-75.2821141021,0.0,0.674552227058,13.3195,2.58923,0.0941305160522461,-0.0602941,0.847622838886,1722.42492631,7165.84006023407,0.7931251525878906,158.806745436,1962,2375.04228919,5,0.00999858,906.753401065,1.693171739578247,-1.90735e-09,0.0602941,3.5400004386901855,0.382262
61.1045846238,0.0,0.7115550023,13.2274,2.58229,0.09337258338928223,-0.0427984,0.66968438273,1667.08346814,7169.392605543137,0.7449960708618164,164.646189765,1963,2225.68424045,5,0.00642622,819.385223301,1.6981186866760254,-5.50747e-09,0.0427984,3.547619104385376,0.381803
113.077057942,0.0,0.762806470717,13.1493,2.57637,0.09891343116760254,-0.048778,0.696030118705,1758.32488738,7173.016485929489,0.8223972320556641,182.59656245,1964,2397.28123896,5,0.00998124,831.072179339,1.7361652851104736,-6.67572e-09,0.048778,3.617985486984253,0.381435
-10.1457025833,0.0,0.690737634952,13.1658,2.57763,0.0999612808227539,-0.0611623,0.572001955592,649.258841842,7176.600430965424,0.7813503742218018,174.685055225,1965,1551.29689001,5,0.00993546,606.673366955,1.709883689880371,4.97818e-08,0.0611623,3.4797871112823486,0.381524
149.987290615,0.0,0.656385718782,13.2099,2.58096,0.10116267204284668,-0.0388686,0.716501798229,1288.58471975,7180.165351867676,0.7852842807769775,164.123943648,1966,2075.58520717,5,0.0064082,808.185927918,1.7177746295928955,-1.8692e-08,0.0388686,3.5613481998443604,0.381789
-432.065909535,0.0,0.635366348906,13.1472,2.57621,0.1000821590423584,-0.0366959,0.810690069992,1517.88920032,7183.7246606349945,0.7842559814453125,138.842856801,1967,2295.08252556,5,0.00644861,1048.36197502,1.7336289882659912,-6.67572e-09,0.0366959,3.5542168617248535,0.381636
1368.0486729,0.0,0.697384456038,13.1672,2.57773,0.10151314735412598,-0.0490694,0.70766953649,2005.10112103,7187.334546327591,0.805450439453125,194.083815122,1968,2290.61357487,5,0.0099995,326.292863502,1.72133469581604,-4.95911e-09,0.0490694,3.506068706512451,0.381744
-416.883670471,0.0,0.784219596705,13.1437,2.57594,0.10575556755065918,-0.0470663,0.554069882648,1644.10513464,7190.933792114258,0.8048696517944336,138.148982097,1969,2220.14366688,5,0.00994847,1031.9101675,1.760913610458374,1.16348e-08,0.0470663,3.5956153869628906,0.381616
1856.05043216,0.0,0.764261727693,13.2821,2.58642,0.08857893943786621,-0.0425663,0.539664465264,2020.40082866,7194.460421323776,0.8064765930175781,175.417286798,1970,2178.84833578,5,0.00993592,105.962677537,1.71954345703125,1.06812e-08,0.0425663,3.522932529449463,0.38219
-282.990159612,0.0,0.661062970989,13.4101,2.596,0.09154105186462402,-0.0599288,0.593799533875,866.301563252,7198.087755441666,0.800177812576294,142.399746342,1971,2149.16391948,5,0.00995337,1017.43361127,1.7321972846984863,-5.81741e-09,0.0599288,3.5132946968078613,0.382805
-198.190507832,0.0,0.682858622093,13.3198,2.58925,0.09621214866638184,-0.0407846,0.821581766136,1011.42622047,7201.704911231995,0.8364112377166748,143.049406079,1972,2351.88181911,5,0.00641156,1071.82383857,1.7380821704864502,-9.91821e-09,0.0407846,3.61374568939209,0.382318
-241.673068646,0.0,0.699687618201,13.2209,2.5818,0.10413098335266113,-0.0436484,0.766011708343,833.584001411,7205.296011686325,0.8294796943664551,182.002020512,1973,1761.27777543,5,0.00642074,691.191875478,1.7402150630950928,1.02997e-08,0.0436484,3.587390422821045,0.381904
-124.032468748,0.0,0.668678821516,13.2044,2.58055,0.09176969528198242,-0.0458413,0.699903014521,1278.64262152,7208.959227800369,0.8167328834533691,153.275514406,1974,2104.72566882,5,0.00995508,947.012812017,1.7351453304290771,1.52588e-09,0.0458413,3.551638603210449,0.381819
-372.919913955,0.0,0.65407297025,13.175,2.57832,0.0912325382232666,-0.0472278,0.774522516599,798.139209604,7212.506894111633,0.8027591705322266,122.393970234,1975,1833.95683133,5,0.00641522,962.066624473,1.738452672958374,4.76837e-09,0.0472278,3.543520212173462,0.381709
-192.630841162,0.0,0.696923869264,13.1586,2.57708,0.09457921981811523,-0.046066,0.736431533236,1633.20311161,7216.102571249008,0.8362653255462646,165.387539084,1976,2208.21796071,5,0.00997355,917.988197295,1.7315576076507568,1.33514e-08,0.046066,3.5913188457489014,0.381628
1281.64953744,0.0,0.655190659163,13.2255,2.58215,0.08952927589416504,-0.0434389,0.633894022642,1783.7759516,7219.741892576218,0.8275246620178223,164.218474986,1977,2134.93556984,5,0.00641963,358.14372803,1.754540205001831,4.14848e-08,0.043439,3.533045530319214,0.381892
-490.738057343,0.0,0.750595589603,13.2085,2.58086,0.09093976020812988,-0.0377355,0.745550744831,1524.42349216,7223.247432470322,0.7805595397949219,125.723036671,1978,2113.85093619,5,0.00640575,1008.91011124,1.758202075958252,4.57764e-08,0.0377355,3.499765396118164,0.381808
-424.020594353,0.0,0.642077912181,13.165,2.57756,0.09244656562805176,-0.0428766,0.815771387265,1083.85774168,7226.804623126984,0.7822182178497314,137.533419835,1979,2069.49127724,5,0.00643061,927.724241168,1.7265493869781494,-1.20163e-08,0.0428765,3.551792860031128,0.381645
