AverageQ,AverageAbsY,EnvExecTime,MaxReturn,PolicyExecTime,AbsLearnSignalNew,StdReturn,MinReturn,LossAfter,AverageDiscountedReturn,Entropy,AbsLearnSignal,AverageAbsQ,NumTrajs,ItrTime,Iteration,ProcessExecTime,LossBefore,ExplainedVariance,dLoss,MeanKL,AbsLearnSignalOld,Perplexity,AverageQLoss,Time,MeanKLBefore,AverageY,AveragePolicyStd,AverageAbsQYDiff,AverageReturn
169.858,169.900773163,8.330587148666382,690.66415923,0.9875922203063965,0.344306516105,85.6499502793,210.329116921,-173.612,247.117772067,24.1214,0.344306516105,169.915,72,52.17572045326233,39,0.13122844696044922,-173.468,-1.71499542402,0.144424,0.00986753,0.344370990285,2.99081e+10,96.3331,2135.983218193054,0.0,169.877666258,0.999969,6.94743071745,350.522335482
169.158,169.204055605,8.761677742004395,657.102513457,1.0360195636749268,0.722792549548,78.6204436342,180.234682696,-173.984,247.319434949,24.1203,0.722792549548,169.218,73,53.52593183517456,40,0.13703393936157227,-173.824,0.694934906431,0.16008,0.00998354,0.72303554694,2.98754e+10,94.1197,2189.634656906128,0.0,169.178157193,0.999906,6.87484263444,349.668021374
168.892,168.938893354,8.432123184204102,553.781793657,1.0081264972686768,0.527215772669,73.8252956281,198.364770563,-172.351,245.707120553,24.1198,0.527215772669,168.95,73,53.10760426521301,41,0.13512206077575684,-172.209,-0.315402378754,0.142441,0.00995976,0.526899225399,2.98619e+10,94.0624,2242.87256526947,0.0,168.90982186,0.999879,6.86839242001,345.851394217
168.434,168.481994195,8.519934177398682,910.967297117,1.019545555114746,0.591696972719,83.8647021621,205.795718167,-167.952,245.061530896,24.1211,0.591696972719,168.5,73,53.84101152420044,42,0.13414311408996582,-167.812,0.286317379965,0.139984,0.00986151,0.591867514015,2.98978e+10,93.6871,2296.843234062195,0.0,168.44875338,0.99995,6.84326360576,345.403708996
167.903,167.954139936,8.682737112045288,672.452665433,1.022996425628662,0.365645681208,77.1796018131,184.837344377,-170.411,246.253738158,24.1237,0.365645681208,167.969,72,53.65200614929199,43,0.13738512992858887,-170.284,-0.275375746974,0.127777,0.0064385,0.365618870654,2.99767e+10,92.1912,2350.6286821365356,0.0,167.921248785,1.0001,6.80274173108,348.118748079
167.964,168.005905083,8.755926370620728,691.446158932,1.0420749187469482,0.551549147061,89.893336522,186.154220849,-169.264,248.846273361,24.1217,0.551549147061,168.024,74,53.57871913909912,44,0.14020299911499023,-169.119,0.221782696312,0.144867,0.00998848,0.551267994417,2.99183e+10,90.7715,2404.3417584896088,0.0,167.976230926,0.999991,6.73971188514,354.050333496
167.42,167.471232699,8.904597759246826,799.429948714,1.0458409786224365,0.560970261568,101.095309328,211.75341436,-173.233,259.199038957,24.121,0.560970261568,167.486,67,54.97888445854187,45,0.13717222213745117,-173.092,0.244415624896,0.140289,0.00979101,0.561315826651,2.9897e+10,89.8358,2459.4488768577576,0.0,167.437179376,0.999949,6.70919703715,377.887650684
166.816,166.866690827,8.83885145187378,732.690861172,1.1275227069854736,0.64215157153,98.320254943,207.613424345,-171.143,247.956748073,24.1226,0.64215157153,166.878,71,55.888694763183594,46,0.14804506301879883,-171.022,0.193187241628,0.12175,0.00997068,0.641753667171,2.9943e+10,88.6693,2515.5158150196075,0.0,166.833607035,1.00004,6.65812501364,353.806236422
165.86,165.907035901,8.924140691757202,639.524800619,1.122326135635376,0.656883760392,80.889797415,175.196665697,-170.174,256.785445172,24.1225,0.656883760392,165.918,67,53.1930730342865,47,0.14793872833251953,-170.035,0.212191128193,0.138672,0.00984835,0.656779068543,2.99404e+10,89.9319,2568.8587622642517,0.0,165.8749293,1.00003,6.65660212525,370.900654505
165.017,165.063011373,8.67016887664795,564.879319331,1.010981798171997,0.491325367676,79.8761474668,215.138520776,-166.424,245.697315319,24.1247,0.491325367676,165.069,71,52.54967284202576,48,0.13506650924682617,-166.27,-0.112613718852,0.153839,0.00963727,0.490861087279,3.0006e+10,85.9437,2621.529653072357,0.0,165.032782795,1.00016,6.5413349627,348.740892445
