AverageAbsY,AbsLearnSignal,EnvExecTime,NumTrajs,PolicyExecTime,AverageQLoss,LossAfter,Perplexity,AverageDiscountedReturn,ItrTime,AverageAbsQYDiff,ProcessExecTime,MinReturn,AverageReturn,MaxReturn,StdReturn,Time,AverageAbsQ,LossBefore,AbsLearnSignalNew,MeanKL,MeanKLBefore,AverageQ,Iteration,AbsLearnSignalOld,AveragePolicyStd,AverageY,ExplainedVariance,dLoss,Entropy
220.112888106,0.644818115856,9.594989776611328,53,1.0711491107940674,284.058,-225.047,2.95173e+10,315.126841174,54.58623218536377,9.59438567764,0.14577603340148926,293.891069896,500.253682411,836.143070785,112.225788686,10799.711105585098,219.97,-224.938,0.644818115856,0.00985728,0.0,219.717,193,0.644624426485,0.999204,219.760777093,0.495097042732,0.109406,24.1082
220.189046952,0.156968776854,9.746782302856445,54,1.0840001106262207,338.971,-230.36,2.95512e+10,310.541656703,54.972378969192505,9.99689303267,0.14425873756408691,297.838789523,489.913872843,903.146731158,116.484493793,10854.804698944092,219.959,-230.279,0.156968776854,0.00773867,0.0,219.61,194,0.156904087272,0.999272,219.647300807,-32.9755900132,0.0808258,24.1094
221.123151643,0.115729689332,9.703072547912598,52,1.0756034851074219,372.505,-229.38,2.95877e+10,317.787690692,55.80840992927551,10.1091608842,0.14390826225280762,274.2405443,511.925581772,794.79846278,137.744553322,10910.736012935638,220.871,-229.279,0.115729689332,0.00450926,0.0,220.352,195,0.115719822808,0.999344,220.398518509,-13.3137803192,0.10173,24.1106
222.490356275,0.686207038375,9.958864688873291,53,1.1164939403533936,343.754,-233.109,2.9594e+10,318.653455973,56.149165391922,9.95328219294,0.14961004257202148,312.566320805,507.159147503,752.533191467,104.871432886,10967.008617401123,222.259,-233.021,0.686207038375,0.00646526,0.0,221.758,196,0.68567081921,0.999357,221.806611644,0.374141320313,0.0875092,24.1108
223.066713353,0.628093101517,9.795973539352417,55,1.0869252681732178,335.756,-228.133,2.95725e+10,306.199812488,55.95337533950806,9.87168182273,0.14493846893310547,279.034996382,477.905151446,694.851412113,100.991710792,11023.085553407669,222.87,-228.017,0.628093101517,0.00956796,0.0,222.49,197,0.627552357077,0.999314,222.520841535,0.340205314049,0.115158,24.1101
223.595835678,0.550530928401,10.003291845321655,54,1.122016191482544,296.096,-224.182,2.96433e+10,306.34738677,55.54105758666992,9.68699710703,0.14767122268676758,317.055692759,481.82811207,766.186801317,106.92855046,11078.75299334526,223.426,-224.067,0.550530928401,0.00908996,0.0,223.191,198,0.550340690682,0.999455,223.23316175,0.17286621316,0.115021,24.1125
223.038900856,0.663694254262,9.761221170425415,55,1.0999135971069336,285.731,-234.413,2.966e+10,306.02434233,55.58829069137573,9.62611833637,0.14918279647827148,304.570647947,481.361330421,927.212526373,128.624412716,11134.466219425201,222.878,-234.305,0.663694254262,0.00985378,0.0,222.673,199,0.663270381194,0.999488,222.706152746,0.363056296767,0.108353,24.1131
222.831736395,0.585442242601,9.825344800949097,51,1.0993952751159668,284.93,-224.907,2.95725e+10,312.518386742,54.566527128219604,9.6837385621,0.14464569091796875,312.598553103,500.806506126,832.394976281,121.990330846,11189.152366876602,222.671,-224.792,0.585442242601,0.0099886,0.0,222.489,200,0.585430905371,0.999314,222.523490358,0.121836779826,0.1147,24.1101
222.535109682,0.461454164861,9.810669422149658,51,1.0892038345336914,273.482,-231.251,2.96022e+10,316.18419997,55.821929693222046,9.59770900677,0.1451878547668457,288.907422009,507.214322012,898.233465851,114.379475235,11245.093381404877,222.396,-231.154,0.461454164861,0.00822911,0.0,222.229,201,0.461307482795,0.999373,222.259434411,-0.457886439413,0.0967407,24.1111
223.340978965,0.607883950178,9.778258323669434,52,1.0792198181152344,242.684,-233.497,2.95822e+10,306.18104084,54.503429889678955,9.29195768522,0.14379096031188965,325.61582039,490.964423347,1116.73517288,151.891345892,11299.71995472908,223.229,-233.389,0.607883950178,0.0097764,0.0,223.115,202,0.60784618829,0.999334,223.15047882,0.312195454043,0.107666,24.1104
223.790795616,0.685861711449,9.683618783950806,52,1.088758945465088,224.761,-220.724,2.95959e+10,310.571088842,55.44312357902527,9.09536628441,0.14424490928649902,300.129690357,494.382314402,809.393459205,115.510011247,11355.287280321121,223.711,-220.62,0.685861711449,0.00838153,0.0,223.61,203,0.685071636651,0.999362,223.637232133,0.339466271626,0.104599,24.1109
223.200809317,0.646780889262,9.843262672424316,50,1.0929341316223145,211.968,-223.568,2.95995e+10,317.745633081,56.61643719673157,8.91505665167,0.1454782485961914,268.865002429,517.07524898,918.11336144,131.543087146,11412.030370473862,223.144,-223.456,0.646780889262,0.00584721,0.0,223.067,204,0.646778133621,0.999369,223.092056501,0.276669130803,0.112457,24.111
221.454161555,0.684306718872,9.971564769744873,54,1.1285738945007324,214.241,-226.423,2.95661e+10,307.349062696,56.57038998603821,8.97421815336,0.1467607021331787,299.814136813,483.816220772,953.967102178,106.396575936,11468.726234912872,221.402,-226.323,0.684306718872,0.0065438,0.0,221.346,205,0.684360279242,0.999303,221.370007728,0.504142422177,0.0997925,24.1099
221.364257928,0.632565973622,9.920262098312378,55,1.1175117492675781,212.711,-223.687,2.95665e+10,301.46251251,54.846174001693726,8.99668578957,0.1479783058166504,335.346997164,470.205524081,681.950081042,95.2818495974,11523.698435306549,221.307,-223.588,0.632565973622,0.00653374,0.0,221.258,206,0.632080620671,0.999304,221.285921254,0.413843459403,0.0998993,24.1099
221.82427069,0.120810212561,9.617344379425049,51,1.0861523151397705,205.022,-230.732,2.953e+10,307.10714321,55.44497537612915,8.95657186765,0.14149236679077148,301.462320691,491.551860112,797.6340957,117.36006317,11579.272241353989,221.778,-230.615,0.120810212561,0.00948921,0.0,221.717,207,0.1206456014,0.999231,221.739322541,-40.4184520464,0.117416,24.1087
222.443504469,0.638343569468,9.967823028564453,58,1.129267692565918,193.351,-232.467,2.95292e+10,285.502426987,54.98455858230591,8.74669613538,0.14651203155517578,314.933425075,433.721425892,773.147335373,88.2000214955,11634.384339094162,222.411,-232.312,0.638343569468,0.0099434,0.0,222.324,208,0.637890206433,0.99923,222.343402017,0.395878827561,0.154526,24.1086
223.101483198,0.543500369727,9.701193809509277,56,1.0880978107452393,197.924,-233.042,2.95709e+10,287.977337884,55.904730558395386,8.64088369675,0.14276552200317383,276.104118843,444.487786105,752.219970602,101.579603905,11690.41607928276,223.048,-232.9,0.543500369727,0.00991659,0.0,222.936,209,0.54229272203,0.999312,222.957478047,0.360096227319,0.141205,24.1101
222.066697079,0.257090557605,9.961530923843384,59,1.1342628002166748,231.038,-231.595,2.94855e+10,284.149845539,55.33665633201599,8.75209881211,0.14596819877624512,306.569000598,431.005029167,640.663269243,73.2940591497,11745.8772149086,221.984,-231.443,0.257090557605,0.00924703,0.0,221.781,210,0.256183350541,0.999142,221.80034598,-0.649885866144,0.151245,24.1072
220.377381522,0.719184497254,9.58724570274353,58,1.1147148609161377,289.571,-229.053,2.94716e+10,282.286296301,54.32517433166504,9.23014924375,0.14050674438476562,304.403758342,429.803139481,696.227651856,83.0885294857,11800.325254678726,220.253,-228.882,0.719184497254,0.00999745,0.0,219.938,211,0.719015383373,0.999114,219.962273968,0.748510177095,0.170563,24.1067
218.272090366,0.577213162449,9.528267860412598,59,1.1025307178497314,252.372,-219.301,2.94822e+10,276.557368517,54.54171109199524,9.09664685796,0.13901209831237793,254.486426283,418.497421909,804.072348348,92.2984851792,11854.992578983307,218.182,-219.148,0.577213162449,0.0093419,0.0,217.926,212,0.576612567157,0.999136,217.941997997,0.462902684875,0.152679,24.1071
216.204993228,0.383193337743,9.628701448440552,63,1.0813772678375244,267.896,-222.315,2.94585e+10,268.413297069,55.2846143245697,9.21554069696,0.14039945602416992,258.232966591,396.572319175,580.795880524,65.004432744,11910.401861906052,216.069,-222.179,0.383193337743,0.0095357,0.0,215.791,213,0.382635418404,0.999089,215.808205164,-0.755050802795,0.135559,24.1062
215.377324036,0.578141030511,9.484818935394287,57,1.0803334712982178,256.638,-223.214,2.94822e+10,280.388595006,55.94958543777466,9.27893179268,0.1379544734954834,287.778757987,431.941679735,756.111794898,98.3950944523,11966.47099328041,215.227,-223.057,0.578141030511,0.00997476,0.0,215.02,214,0.576747708159,0.999136,215.047077606,0.438414607512,0.157288,24.1071
215.262490574,0.723705869093,9.563978433609009,57,1.0875489711761475,259.078,-212.168,2.94926e+10,277.874973717,55.48081588745117,9.34624670736,0.14067983627319336,304.860228733,425.415670378,740.81415218,84.4889191742,12022.074679613113,215.083,-212.027,0.723705869093,0.00989297,0.0,214.872,215,0.724093461333,0.999157,214.894195697,0.680703586629,0.140717,24.1074
215.207117009,0.658644272324,9.370564699172974,53,1.0363612174987793,279.555,-213.965,2.94748e+10,288.955642914,54.865988969802856,9.47219927609,0.1340038776397705,307.278450564,454.362081703,723.861994908,98.036604419,12077.055665969849,215.004,-213.808,0.658644272324,0.00999301,0.0,214.719,216,0.658266172149,0.999121,214.731841399,0.540400340684,0.157608,24.1068
214.913577016,0.691141270144,9.647860050201416,51,1.0669543743133545,251.205,-216.675,2.94984e+10,296.022050171,55.592817544937134,9.32680186052,0.1399705410003662,311.684583854,473.264129771,710.431370417,92.717963616,12132.764886379242,214.732,-216.548,0.691141270144,0.00647114,0.0,214.494,217,0.690337771663,0.999168,214.52379702,0.670303885705,0.127243,24.1076
214.193876475,0.308027254451,9.784541606903076,56,1.0879089832305908,241.182,-220.85,2.94872e+10,284.999614454,55.8702347278595,9.14765434087,0.14039921760559082,244.118006125,446.325293866,776.111509463,114.108185653,12188.747887849808,214.048,-220.686,0.308027254451,0.0096232,0.0,213.821,218,0.307544481889,0.999146,213.850143478,-1.93860073477,0.164703,24.1072
213.978918298,0.516128252684,9.843122243881226,51,1.1084539890289307,220.89,-222.552,2.95035e+10,296.403214933,55.48257660865784,8.8710165459,0.14417147636413574,267.599397819,479.909358684,822.568677099,125.6367922,12244.34367442131,213.858,-222.373,0.516128252684,0.00996003,0.0,213.672,219,0.515787083627,0.999179,213.695442461,-0.402873125077,0.179184,24.1078
213.056757972,0.250692878356,9.601614713668823,56,1.070723533630371,209.699,-212.687,2.94866e+10,283.710440519,54.72338366508484,8.68382026249,0.14219188690185547,279.570818165,442.761624291,807.894584764,112.350805077,12299.183301210403,212.964,-212.545,0.250692878356,0.00934217,0.0,212.799,220,0.250455146608,0.999145,212.826074333,-5.59559156205,0.142151,24.1072
