LossAfter,Time,dLoss,Perplexity,EnvExecTime,Entropy,MeanKL,AbsLearnSignal,MaxReturn,Iteration,AbsLearnSignalNew,AverageReturn,AveragePolicyStd,AbsLearnSignalOld,LossBefore,AverageAbsY,AverageY,PolicyExecTime,MinReturn,ProcessExecTime,AverageAbsQYDiff,AverageQLoss,ItrTime,AverageDiscountedReturn,AverageQ,StdReturn,NumTrajs,ExplainedVariance,MeanKLBefore,AverageAbsQ
-118.467,27218.381584644318,0.0411987,155.98,1.356835126876831,5.04973,0.00996381,0.758927982416,1249.1501203,831,0.758927982416,1198.22482684,0.582016,0.758323319647,-118.426,117.00808367,116.958186452,0.5919497013092041,1118.33892658,0.08577561378479004,1.03338444661,15.0863,31.79295253753662,94.0896374594,116.956,45.5921701807,5,0.813472092963,0.0,117.006
-118.774,27250.322197198868,0.0435867,156.329,1.3621635437011719,5.05196,0.0099413,0.744221595736,1225.31934841,832,0.744221595736,1185.85647547,0.582226,0.743856021534,-118.73,117.052549408,117.003077974,0.5876386165618896,1167.53476483,0.08660197257995605,1.00812510918,14.1417,31.818310976028442,99.9822969979,117.002,21.3313917516,5,0.838219753117,0.0,117.051
-118.151,27282.377662420273,0.0451736,155.856,1.373786449432373,5.04893,0.00983743,0.729959993403,1218.72978997,833,0.729959993403,1139.21039305,0.581977,0.729724100328,-118.106,117.148977908,117.103370247,0.60593581199646,1084.39935957,0.09034037590026855,1.02456369252,14.5344,31.93140482902527,87.1255317487,117.102,61.9022998193,5,0.816155601202,0.0,117.147
-118.65,27314.354264497757,0.0368118,155.074,1.369584321975708,5.0439,0.00641226,0.762897311418,1244.44194527,834,0.762897311418,1203.85431792,0.58142,0.762162239634,-118.613,117.198448281,117.150606212,0.5961782932281494,1172.43212824,0.08683061599731445,1.01128039281,14.5697,31.854106426239014,87.7647346081,117.149,28.902659073,5,0.828854535991,0.0,117.197
-118.42,27346.17827296257,0.0404739,154.968,1.3930809497833252,5.04322,0.00641189,0.754926642859,1213.88507892,835,0.754926642859,1169.63845233,0.581402,0.754427708293,-118.38,117.199131675,117.149084923,0.6069178581237793,1123.4162086,0.08948230743408203,1.02012585041,14.6875,31.698662042617798,83.5578168835,117.147,32.2169976744,5,0.838798341735,0.0,117.197
-118.367,27378.089213609695,0.0434036,155.068,1.3831236362457275,5.04386,0.00998989,0.728563427486,1190.14502901,836,0.728563427486,1146.51435911,0.58142,0.727913101695,-118.324,117.253614929,117.210597141,0.6156551837921143,1099.11968121,0.0888667106628418,1.03516408427,15.5157,31.78959083557129,83.4688974945,117.209,36.3894684227,5,0.85172811516,0.0,117.252
-118.965,27409.774621009827,0.0366974,154.97,1.363018274307251,5.04323,0.00642605,0.750117941441,1222.88154723,837,0.750117941441,1175.05477255,0.581368,0.750369596804,-118.929,117.271490666,117.225842762,0.5797851085662842,1135.35910216,0.08579349517822266,1.02616802582,15.1395,31.561392307281494,88.1403847531,117.225,28.1928051733,5,0.881363340876,0.0,117.27
-119.075,27441.761613845825,0.0355377,154.356,1.3749592304229736,5.03926,0.00641188,0.742015365171,1250.66895465,838,0.742015365171,1200.69114868,0.580972,0.741829120673,-119.039,117.260586884,117.21665551,0.5856873989105225,1162.11160281,0.08783221244812012,1.02308400288,15.3062,31.867587327957153,93.5361399836,117.215,28.633031787,5,0.898323397191,0.0,117.259
-118.482,27473.645212888718,0.043541,153.788,1.3533854484558105,5.03558,0.00998138,0.756158539333,1229.92417223,839,0.756158539333,1193.50392,0.580602,0.755964139927,-118.438,117.273132397,117.223098466,0.5745139122009277,1130.93597005,0.08878302574157715,1.02449148795,15.0723,31.75666856765747,83.7642516936,117.222,33.7934888212,5,0.85518654041,0.0,117.272
-118.744,27505.40565419197,0.0372849,153.178,1.3731803894042969,5.0316,0.00640194,0.728573235392,1188.3934218,840,0.728573235392,1178.85658252,0.580299,0.72798555285,-118.707,117.262940971,117.211183621,0.612433671951294,1159.90160491,0.08876943588256836,1.05169580209,16.6217,31.641647815704346,90.157956077,117.21,11.0382648698,5,0.876044071906,0.0,117.262
-118.224,27537.15224456787,0.0454865,152.897,1.3691551685333252,5.02976,0.00998339,0.703891218846,1237.03765448,841,0.703891218846,1163.7703758,0.580159,0.70306315515,-118.179,117.211552492,117.158149563,0.6094424724578857,1068.66066579,0.08465385437011719,1.03628818678,16.1196,31.62428641319275,74.8698356689,117.157,55.8620175197,5,0.829733537197,0.0,117.211
-118.719,27569.457891702652,0.0599976,152.349,1.3869340419769287,5.02617,0.0099192,0.72714507079,1267.31471453,842,0.72714507079,1209.9198419,0.579791,0.728026248745,-118.659,117.229798676,117.178994875,0.6547353267669678,1168.40346806,0.09232878684997559,1.02207366828,15.295,32.18256378173828,92.7760596636,117.177,33.6645114158,5,0.847959838402,0.0,117.228
-108.663,27601.633658885956,0.0397873,152.758,1.3571457862854004,5.02885,0.00641354,0.754970748133,1253.61896985,843,0.754970748133,1102.13119217,0.580142,0.755351131871,-108.623,117.252653746,117.201683509,0.6041274070739746,687.576389175,0.08721590042114258,1.00489125433,14.3236,32.05534911155701,82.753957148,117.201,210.020240518,5,0.276849555001,0.0,117.251
-119.249,27633.430890083313,0.043869,152.644,1.3572089672088623,5.02811,0.00990769,0.699799495983,1294.14962202,844,0.699799495983,1236.55996262,0.580077,0.700191409323,-119.206,117.273249839,117.221946578,0.6094217300415039,1208.61483727,0.0833120346069336,1.02323025932,14.7526,31.67515802383423,98.6666704749,117.221,30.6926549363,5,0.834599029464,0.0,117.271
-118.823,27665.491186141968,0.0440826,152.584,1.326244592666626,5.02772,0.00990618,0.757762636399,1251.42046316,845,0.757762636399,1215.9233372,0.580036,0.757445787706,-118.779,117.359270329,117.312343769,0.5796406269073486,1191.13860882,0.09119296073913574,1.02090864497,14.0038,31.93667721748352,94.9244669809,117.311,20.7159662527,5,0.865870583415,0.0,117.358
-119.225,27697.674264431,0.0330811,152.404,1.367666244506836,5.02653,0.00641802,0.765373416784,1219.19745238,846,0.765373416784,1191.51269825,0.579874,0.765303940689,-119.192,117.395897486,117.347252085,0.6153573989868164,1161.57365777,0.08715415000915527,1.03100482597,14.6914,32.06069588661194,84.0073383533,117.346,21.0328775148,5,0.855648956562,0.0,117.394
-118.548,27729.683594465256,0.0377502,152.292,1.338853359222412,5.0258,0.00640739,0.690128941756,1234.61916442,847,0.690128941756,1162.66074397,0.579802,0.689353497728,-118.51,117.408915291,117.356699902,0.5865695476531982,1121.54912223,0.08144712448120117,1.04410852795,15.6127,31.88627004623413,98.4912715851,117.355,42.2431447418,5,0.832600475855,0.0,117.407
-118.902,27761.540315389633,0.0451965,151.858,1.3376405239105225,5.02295,0.00990321,0.755440878086,1235.45972853,848,0.755440878086,1185.67322934,0.579451,0.755401934277,-118.857,117.388121154,117.331961888,0.5736451148986816,1162.06396983,0.08137321472167969,1.05225215836,16.3361,31.737918853759766,94.5323550947,117.33,26.632515938,5,0.855651461529,0.0,117.386
-119.192,27793.75167965889,0.0419006,151.441,1.3515849113464355,5.0202,0.00996781,0.756754925342,1231.73360171,849,0.756754925342,1190.49604457,0.57917,0.756541807724,-119.15,117.327095712,117.269017031,0.5931980609893799,1141.72493081,0.0887606143951416,1.03714124281,15.9685,32.08136534690857,88.5597584288,117.268,34.6662063312,5,0.839587345784,0.0,117.325
-119.184,27825.69161438942,0.0344543,151.614,1.3490474224090576,5.02134,0.00641548,0.730985146648,1222.6906756,850,0.730985146648,1193.16651048,0.579298,0.731333278185,-119.15,117.320240528,117.262332731,0.5945961475372314,1145.43794719,0.08817410469055176,1.02852342899,15.3861,31.818440437316895,94.2554656803,117.262,30.1721475768,5,0.86847128186,0.0,117.319
-118.977,27857.610104084015,0.0470963,151.543,1.3624231815338135,5.02087,0.00983601,0.759108994528,1263.90036631,851,0.759108994528,1216.09429257,0.579329,0.759258122561,-118.93,117.341649349,117.283610749,0.6042778491973877,1194.47409668,0.09065604209899902,1.02242869724,15.0548,31.79080104827881,100.895536347,117.282,24.8030278264,5,0.887483638604,0.0,117.34
-118.288,27889.72790622711,0.0359955,151.146,1.3559205532073975,5.01825,0.00643443,0.720515322403,1218.31560314,852,0.720515322403,1165.82470485,0.579114,0.720367622015,-118.252,117.293970323,117.237842161,0.5758953094482422,1139.59613731,0.08327078819274902,1.05208332583,16.737,31.997966766357422,91.0476151447,117.236,28.9959783691,5,0.821117817087,0.0,117.292
