AverageReturn,AbsLearnSignalNew,AverageAbsQ,AverageY,Entropy,dLoss,AverageAbsY,Perplexity,MeanKLBefore,AverageQ,LossAfter,ItrTime,ExplainedVariance,EnvExecTime,StdReturn,Time,MinReturn,AbsLearnSignalOld,PolicyExecTime,AverageQLoss,MaxReturn,AverageAbsQYDiff,Iteration,AbsLearnSignal,MeanKL,AverageDiscountedReturn,ProcessExecTime,AveragePolicyStd,NumTrajs,LossBefore
320.005141945,0.638452480881,183.083,183.064679431,24.1114,0.156998,183.071628901,2.96107e+10,0.0,183.05,-178.138,53.414429664611816,0.309546264475,8.48506498336792,118.32352349,1672.9551422595978,190.300720871,0.636142132522,1.0059068202972412,121.741,931.36712854,7.40518878713,30,0.638452480881,0.00645401,229.75720177,0.1417396068572998,0.99938,80,-177.981
321.541505428,0.594437476706,182.784,182.771311744,24.1129,0.188232,182.778994604,2.96554e+10,0.0,182.754,-179.344,52.986955881118774,0.00927948452514,8.5098557472229,78.8685940902,1726.0792136192322,85.640577421,0.593893776656,1.0423974990844727,117.661,639.980067233,7.30672317245,31,0.594437476706,0.00995037,232.970881234,0.14390945434570312,0.999469,80,-179.156
316.897838599,0.537338722438,181.049,181.034160854,24.1127,0.168549,181.038711781,2.96505e+10,0.0,181.017,-176.381,52.520081520080566,0.342715583969,8.592682838439941,71.7720725419,1778.7311062812805,163.190912605,0.536033962061,1.0229978561401367,114.001,507.336324867,7.23568691233,32,0.537338722438,0.00968975,231.388716865,0.14029574394226074,0.999459,81,-176.212
309.606321896,0.26512341732,178.731,178.719199045,24.1122,0.176086,178.725156786,2.96349e+10,0.0,178.702,-173.638,52.677324533462524,-2.9182942978,8.430826902389526,60.6902835504,1831.5431520938873,219.182475077,0.264969659022,1.0087909698486328,110.132,515.267573211,7.10314800296,33,0.26512341732,0.00974549,228.238950566,0.13859939575195312,0.999429,83,-173.462
303.720398228,0.662377111072,176.554,176.536702739,24.1131,0.183289,176.546674963,2.96596e+10,0.0,176.52,-170.939,53.6337571144104,0.68067775369,8.442598104476929,60.8600772288,1885.3102984428406,112.078063284,0.661587553791,1.0277798175811768,107.299,462.238996657,7.00012491462,34,0.662377111072,0.00996485,225.108253155,0.14207911491394043,0.999477,85,-170.756
311.886245473,0.601445188094,174.547,174.532291455,24.1117,0.180786,174.539351112,2.96202e+10,0.0,174.514,-168.041,54.54089379310608,0.606919188,8.424721956253052,73.0811660432,1939.9857301712036,169.679008052,0.602210071936,1.037031888961792,104.954,549.045766926,6.91335210221,35,0.601445188094,0.00999458,228.68271497,0.14339113235473633,0.9994,82,-167.86
330.462115824,0.299077672713,172.923,172.902607502,24.1115,0.206955,172.909965194,2.9615e+10,0.0,172.886,-176.309,53.111488819122314,-2.05871806066,8.514175415039062,96.4871979373,1993.2415108680725,173.261562264,0.298425128941,1.051013469696045,102.37,870.591807294,6.85167806033,36,0.299077672713,0.00964331,236.058222142,0.1428976058959961,0.999389,76,-176.102
346.466768451,0.630553417095,172.1,172.080190323,24.1101,0.182526,172.08657238,2.95716e+10,0.0,172.064,-175.357,53.106348752975464,-0.0994011366036,8.343274593353271,80.6039238629,2046.478229045868,191.888702827,0.630737629212,1.0347919464111328,101.112,742.300043324,6.81428030317,37,0.630553417095,0.00989742,244.89721796,0.14011645317077637,0.999303,73,-175.175
340.332358113,0.522858226528,172.014,171.997978439,24.1066,0.193069,172.004299253,2.94688e+10,0.0,171.98,-167.905,52.61340880393982,0.0186401565592,8.45262336730957,87.2280925954,2099.2254605293274,205.105106032,0.522517032422,1.0325374603271484,102.542,752.920405081,6.86801451379,38,0.522858226528,0.0099593,241.94413308,0.13981890678405762,0.999098,74,-167.712
334.57773669,0.630732122886,172.088,172.06860068,24.109,0.170517,172.076281705,2.95391e+10,0.0,172.052,-175.344,53.34948134422302,-0.0846573068576,8.137298583984375,88.8784311144,2152.709611415863,163.653200871,0.630506939764,1.0028705596923828,100.879,692.289020642,6.81026796835,39,0.630732122886,0.00988924,237.307815131,0.13694405555725098,0.999239,73,-175.173
338.504720082,0.427304398717,171.047,171.031480631,24.1085,0.143204,171.037608112,2.95258e+10,0.0,171.016,-169.205,53.04802083969116,-0.698759211443,8.180605173110962,82.1185633978,2205.891212940216,98.9224656909,0.426987701008,1.0125017166137695,102.084,705.368471431,6.81663051532,40,0.427304398717,0.00871099,240.690135292,0.13927960395812988,0.999213,74,-169.061
353.843297245,0.657297780153,171.66,171.646967576,24.1082,0.165787,171.651500864,2.95164e+10,0.0,171.633,-175.034,54.115999937057495,0.134121766921,8.359505414962769,74.9685860875,2260.145552635193,165.886292234,0.65626966461,1.0374500751495361,99.4572,548.289405585,6.75914394171,41,0.657297780153,0.00958409,248.830218611,0.14203739166259766,0.999194,71,-174.868
335.979502397,0.494142543054,171.941,171.92882762,24.1125,0.141342,171.933342329,2.96433e+10,0.0,171.914,-170.778,53.683234453201294,-0.259247624783,8.328693389892578,83.7090297091,2313.9573352336884,83.515510462,0.493943507961,1.0432534217834473,102.176,592.620273865,6.84282780094,42,0.494142543054,0.00644012,238.156111731,0.14439749717712402,0.999447,73,-170.637
336.026899316,0.709178169552,171.762,171.752480954,24.1126,0.151947,171.756391905,2.96474e+10,0.0,171.737,-172.985,53.55236530303955,0.393406126171,8.258126497268677,99.6768354712,2367.635670900345,84.1800033307,0.70998362877,1.0427675247192383,106.099,697.556474917,6.97463227325,43,0.709178169552,0.00967821,236.852717197,0.14121770858764648,0.999455,73,-172.833
349.772396448,0.381486609667,172.537,172.527716265,24.1139,0.220779,172.531104449,2.96847e+10,0.0,172.514,-177.447,54.25564098358154,-1.27866715168,8.261749029159546,83.8380347646,2422.0222430229187,166.317853636,0.381250835386,1.0361335277557373,105.971,606.669123993,7.00441165186,44,0.381486609667,0.00671374,244.975060024,0.13999032974243164,0.999529,70,-177.226
351.605062787,0.677167040252,172.739,172.728951499,24.1144,0.147995,172.733254745,2.97004e+10,0.0,172.714,-178.933,55.584798097610474,0.342044271398,8.26595425605774,89.6222634724,2477.7422449588776,115.208812302,0.676972031192,1.0876431465148926,108.701,655.868843074,7.06976904647,45,0.677167040252,0.00974201,245.501957603,0.15182852745056152,0.99956,70,-178.785
361.055590982,0.488777588347,172.911,172.896991007,24.1109,0.144775,172.901038723,2.95973e+10,0.0,172.882,-180.119,55.25143361091614,-0.499841987355,8.526618242263794,97.4497290874,2533.1636712551117,164.804859207,0.488891261635,1.1288206577301025,109.374,615.306707609,7.08069425119,46,0.488777588347,0.00990945,248.820057557,0.15125703811645508,0.999356,67,-179.974
342.085251857,0.685510575493,173.002,172.993825798,24.1105,0.143478,172.997904936,2.95833e+10,0.0,172.978,-170.408,52.0850715637207,0.253897225281,8.050103187561035,90.1469997087,2585.3786766529083,164.267006735,0.685657075217,0.9666435718536377,108.158,686.323155987,7.05841602745,47,0.685510575493,0.00995676,240.899238452,0.13542962074279785,0.999328,72,-170.264
370.012701982,0.562994808918,172.822,172.814988595,24.1099,0.137451,172.818757246,2.95666e+10,0.0,172.797,-175.463,53.124778032302856,-0.00934844640018,8.115839004516602,87.4320531585,2638.6349263191223,210.426598315,0.562282254725,0.9829928874969482,111.815,636.764741607,7.14581545264,48,0.562994808918,0.0098149,254.545399104,0.13513875007629395,0.999295,66,-175.326
351.270335326,0.188406542132,173.017,173.007867307,24.1106,0.14949,173.011811985,2.95877e+10,0.0,172.992,-178.862,53.62859392166138,-22.1227045634,8.378427743911743,89.1088019546,2692.396708726883,180.602499471,0.18834915807,1.0379040241241455,114.021,677.689531868,7.17921803006,49,0.188406542132,0.00984084,244.831913133,0.14224839210510254,0.999337,69,-178.713
356.798017577,0.726240578602,172.643,172.630001412,24.1089,0.132736,172.636304707,2.95377e+10,0.0,172.612,-173.447,52.92948341369629,0.440741480184,8.247891902923584,69.7140001738,2745.4596378803253,239.191305701,0.725699058103,1.0156540870666504,112.904,535.580340505,7.13797211637,50,0.726240578602,0.0099033,249.365108541,0.14082884788513184,0.999238,69,-173.314
371.172348863,0.710193213631,172.351,172.338918713,24.107,0.137589,172.344729004,2.94821e+10,0.0,172.322,-175.254,53.770721673965454,0.419433276522,8.320610284805298,120.770654885,2799.36137509346,92.5701368513,0.710345793979,1.0196516513824463,112.468,869.083524872,7.12552214715,51,0.710193213631,0.00996451,251.875859657,0.13961482048034668,0.999127,66,-175.116
345.31834728,0.614818492936,172.138,172.127165027,24.1073,0.1633,172.133686336,2.94882e+10,0.0,172.111,-170.654,52.99930548667908,0.114250326,8.304643869400024,101.158357944,2852.498754501343,119.023168825,0.614789397714,1.0165374279022217,106.568,765.416054803,6.98876639092,52,0.614818492936,0.00987585,241.09844205,0.13799428939819336,0.999139,70,-170.49
360.633300355,0.468314530748,171.89,171.873460356,24.1049,0.142715,171.885152738,2.94193e+10,0.0,171.855,-175.779,53.8621780872345,-0.368759439498,8.387173652648926,95.5394850665,2906.4929027557373,159.554726249,0.467639052819,1.0316834449768066,104.079,647.976027984,6.85077563148,53,0.468314530748,0.00833838,248.756869173,0.1393742561340332,0.999003,67,-175.636
368.248657891,0.53774127724,171.694,171.678400788,24.1039,0.129364,171.68428066,2.93893e+10,0.0,171.663,-174.689,54.02629566192627,-0.152601595144,8.558065176010132,72.3644460774,2960.654585123062,214.785033241,0.537835524807,1.040067195892334,100.597,557.905746197,6.78300151893,54,0.53774127724,0.00931539,254.096947199,0.1407918930053711,0.998943,66,-174.559
372.238479283,0.58579844416,171.746,171.733592566,24.1045,0.177216,171.740746725,2.94077e+10,0.0,171.715,-179.773,53.29839897155762,0.351298806022,8.503599166870117,102.49772498,3014.0922725200653,176.193646232,0.585350994599,1.024735927581787,101.841,724.812886863,6.78182646727,55,0.58579844416,0.0099789,253.466475955,0.14117074012756348,0.99898,66,-179.596
356.565052498,0.624159254567,171.828,171.814457924,24.107,0.139053,171.819875073,2.94818e+10,0.0,171.799,-173.266,53.02337026596069,0.393578758509,8.599043846130371,89.1920241204,3067.2466118335724,198.790985045,0.62391860805,1.0439958572387695,97.7355,691.040576794,6.68033547737,56,0.624159254567,0.00997195,247.882664906,0.14404559135437012,0.999128,69,-173.127
367.508925613,0.608174758656,171.522,171.510452966,24.1082,0.13887,171.516308521,2.95155e+10,0.0,171.494,-177.717,53.18999528884888,0.347643093802,8.46326494216919,88.9079473326,3120.565643787384,174.217692319,0.607283447796,1.004669427871704,99.2963,588.482430056,6.71942025899,57,0.608174758656,0.00988476,252.751234198,0.13853168487548828,0.999195,66,-177.579
