ExplainedVariance,LossBefore,MeanKL,ProcessExecTime,PolicyExecTime,AverageQ,AverageAbsQYDiff,Time,MaxReturn,ItrTime,NumTrajs,Perplexity,AverageY,Iteration,AverageAbsY,AveragePolicyStd,AverageReturn,AverageAbsQ,Entropy,MeanKLBefore,AverageDiscountedReturn,LossAfter,StdReturn,MinReturn,AbsLearnSignal,EnvExecTime,AverageQLoss,AbsLearnSignalOld,dLoss,AbsLearnSignalNew
0.833383525779,-293.309,0.00988284,0.07806634902954102,0.5950279235839844,266.99,3.42518080749,23747.006579637527,3071.76630872,32.04100322723389,5,2393.27,266.994710021,710,272.782572509,0.889322,2913.07573803,272.777,7.78042,0.0,242.364177303,-293.347,103.775669608,2783.46960445,0.778100056289,1.5713083744049072,98.948,0.779152719027,0.0381165,0.778100056289
0.832659940705,-293.913,0.00982576,0.08391261100769043,0.6105701923370361,266.651,3.48064550627,23779.703612804413,3096.52843523,32.59639120101929,5,2390.54,266.654003905,711,272.528949687,0.889176,2946.53998216,272.523,7.77927,0.0,242.493743329,-293.959,100.718974,2818.40800067,0.78995394566,1.5718505382537842,105.541,0.789874320204,0.0455627,0.78995394566
0.840469705847,-291.724,0.00994715,0.0873100757598877,0.6229062080383301,267.053,3.47396481595,23812.09521651268,3005.52374826,32.28434944152832,5,2387.94,267.057199352,712,272.845166924,0.889027,2788.48259828,272.839,7.77818,0.0,217.111876695,-291.768,112.128431489,2687.44127556,0.798228815245,1.5796830654144287,101.539,0.798538370841,0.0433655,0.798228815245
0.663369137823,-291.943,0.00995898,0.08333945274353027,0.6032588481903076,267.09,3.42258096834,23844.34122467041,2986.22387197,32.137863636016846,5,2389.74,267.093370178,713,272.907218175,0.889153,2834.2468001,272.898,7.77894,0.0,239.754137729,-291.981,101.413119019,2706.6957066,0.769939168346,1.5736737251281738,92.848,0.769673925984,0.0381165,0.769939168346
0.815816211831,-240.946,0.00641181,0.08942818641662598,0.6238598823547363,266.992,3.41787221381,23877.06014251709,3148.63680886,32.609700441360474,5,2394.22,266.994105009,714,272.903187886,0.889425,2375.02269204,272.899,7.78081,0.0,224.785157514,-240.986,1150.36406253,87.9433113116,0.72716588367,1.6004314422607422,94.5945,0.727897985054,0.0396271,0.72716588367
0.745777423473,-292.546,0.00987634,0.08515572547912598,0.6182355880737305,267.783,3.45171337743,23909.86044025421,3002.20777138,32.69372630119324,5,2396.77,267.788888563,715,273.496722777,0.889632,2873.32133892,273.485,7.78188,0.0,236.111501001,-292.589,75.839275212,2785.33203646,0.718232014091,1.591221809387207,95.0589,0.718524805409,0.0429382,0.718232014091
0.790989029856,-295.854,0.00993796,0.09083914756774902,0.670098066329956,268.239,3.47430650444,23942.564209222794,3099.03476644,32.59455943107605,5,2395.05,268.242580244,716,273.87546434,0.889518,2973.3526021,273.871,7.78116,0.0,236.754069169,-295.895,76.6571083542,2887.32730531,0.783087660629,1.6198947429656982,101.166,0.783037879835,0.0411987,0.783087660629
0.795582223063,-290.782,0.00987456,0.09159183502197266,0.6400406360626221,268.205,3.45449321642,23975.672196149826,2894.76180359,33.00177049636841,5,2396.61,268.209057053,717,273.838249379,0.889625,2738.06030226,273.831,7.78181,0.0,225.227798477,-290.821,120.92736354,2537.14578475,0.781522827181,1.6155292987823486,97.4633,0.782046280327,0.039032,0.781522827181
0.779128648459,-293.066,0.00995462,0.08769440650939941,0.6476683616638184,268.418,3.48193296407,24008.344911813736,3012.30751804,32.5651421546936,5,2401.86,268.423542589,718,274.011277469,0.889988,2855.55775407,274.002,7.784,0.0,242.905797298,-293.106,132.802687345,2639.15045202,0.779162752911,1.5962252616882324,97.6785,0.779548402102,0.0399475,0.779162752911
0.7867503899,-291.608,0.00999079,0.09374094009399414,0.6844182014465332,268.186,3.48202316064,24041.465206623077,2935.90427486,33.014405727386475,5,2404.11,268.189857812,719,273.801047947,0.89014,2830.09791617,273.793,7.78493,0.0,213.202615594,-291.651,64.1183026924,2737.3371694,0.795006532912,1.630319356918335,102.107,0.794922588752,0.0432739,0.795006532912
