AverageReturn,Perplexity,AverageY,AverageDiscountedReturn,NumTrajs,MaxReturn,ItrTime,ProcessExecTime,Time,LossAfter,LossBefore,StdReturn,ExplainedVariance,AveragePolicyStd,AverageQ,AverageAbsY,AverageQLoss,MinReturn,MeanKLBefore,MeanKL,AbsLearnSignalNew,dLoss,EnvExecTime,AbsLearnSignal,PolicyExecTime,AverageAbsQYDiff,Iteration,AbsLearnSignalOld,AverageAbsQ,Entropy
354.690104403,2.97781e+10,162.51927783,247.510866313,68,640.369827958,56.07106971740723,0.1455399990081787,2255.4385299682617,-162.489,-162.343,82.2305384657,-0.27985420152,0.999713,162.504,162.526796704,85.7531,228.250015073,0.0,0.00987897,0.4920141932,0.145462,8.575085639953613,0.4920141932,1.0647711753845215,6.47703285615,40,0.491943728612,162.546,24.117
355.478639716,2.97012e+10,162.266936877,246.576675963,68,637.637718316,56.26348352432251,0.1463775634765625,2311.828230857849,-165.684,-165.534,97.5295197433,-1.12963182238,0.999561,162.252,162.274614078,84.0135,130.676798321,0.0,0.00783006,0.35420542606,0.149384,8.88293170928955,0.35420542606,1.0887892246246338,6.41890441532,41,0.354045985729,162.29,24.1145
371.816936726,2.95633e+10,162.871826498,254.274713886,66,839.549078013,55.49134278297424,0.14740371704101562,2367.446336746216,-162.684,-162.576,108.763683796,-0.232591586237,0.999287,162.855,162.879969506,84.1884,204.895383829,0.0,0.00894385,0.485919471799,0.107651,8.914818525314331,0.485919471799,1.1124475002288818,6.4111576014,42,0.48575143168,162.897,24.1098
350.374390535,2.94814e+10,163.120397047,245.072852339,68,606.130824403,55.313727140426636,0.1471729278564453,2422.8901607990265,-164.54,-164.373,84.1186813095,-1.95036597981,0.999124,163.105,163.126368878,83.0877,196.889814999,0.0,0.0065256,0.35872905651,0.166077,8.944010734558105,0.35872905651,1.0975086688995361,6.35816831281,43,0.358243570474,163.143,24.107
405.016456301,2.95385e+10,163.530739659,267.423242273,60,727.886023119,55.55327010154724,0.1463031768798828,2478.565822124481,-170.343,-170.224,123.486221971,0.292654498625,0.999238,163.515,163.538588467,82.2119,187.289398595,0.0,0.00976127,0.650966824067,0.119446,8.850716829299927,0.650966824067,1.0835466384887695,6.34388706082,44,0.65071960159,163.554,24.109
379.426615349,2.96291e+10,163.845647175,258.11890269,64,618.109006915,56.48976421356201,0.1484358310699463,2535.1770417690277,-165.36,-165.257,94.8085225856,0.0445625693781,0.999418,163.831,163.853715141,82.3002,228.654631119,0.0,0.00839818,0.548207141855,0.103439,9.229038953781128,0.548207141855,1.1212151050567627,6.37718856843,45,0.548173911711,163.872,24.112
367.889953519,2.95255e+10,163.905047159,249.528445092,65,782.072092946,54.97670125961304,0.14615225791931152,2590.2816751003265,-165.064,-164.975,128.790233452,0.23107799654,0.999212,163.89,163.912805682,80.6906,214.588591661,0.0,0.00533724,0.652225019621,0.0884705,8.884771347045898,0.652225019621,1.1080262660980225,6.32698783859,46,0.652366441055,163.927,24.1085
351.497172117,2.94391e+10,163.968991917,244.276606789,68,752.088198558,55.6422975063324,0.1469426155090332,2646.051533937454,-164.613,-164.499,103.129654995,-0.152525286391,0.99904,163.953,163.978186285,81.3158,192.65471133,0.0,0.00954645,0.643849632996,0.113831,8.90871000289917,0.643849632996,1.1142313480377197,6.34782162938,47,0.64417648909,163.994,24.1056
345.578057174,2.94733e+10,164.165496287,242.718966324,70,734.789143271,55.44476866722107,0.15021944046020508,2701.61909866333,-164.627,-164.525,92.4698167667,-0.972679055444,0.999108,164.15,164.176405436,82.807,187.942595833,0.0,0.00745784,0.40284470258,0.102631,8.94035267829895,0.40284470258,1.1186251640319824,6.3675073436,48,0.402638977467,164.196,24.1068
349.441874761,2.92985e+10,163.92554679,242.611094123,68,834.328657139,57.13698887825012,0.14826393127441406,2758.8798401355743,-163.314,-163.201,112.0551789,0.475765562299,0.99876,163.912,163.934688699,80.836,152.053409921,0.0,0.00978493,0.723471055527,0.113098,9.14573860168457,0.723471055527,1.1526670455932617,6.33087840217,49,0.723504329392,163.953,24.1008
