StdReturn,MeanKLBefore,Perplexity,ExplainedVariance,AbsLearnSignal,Time,LossAfter,Iteration,Entropy,EnvExecTime,ProcessExecTime,LossBefore,MinReturn,MeanKL,AverageReturn,MaxReturn,ItrTime,NumTrajs,dLoss,AveragePolicyStd,AverageDiscountedReturn,PolicyExecTime
51.5658136027,0.0,0.315484,0.876373818164,0.678049847005,12515.367107868195,-0.0397836,3478,-1.15365,1.677799940109253,0.08459115028381348,8.96454e-09,1472.38964974,0.00640936,1568.92428802,1615.06689046,3.4649600982666016,5,0.0397836,0.210854,107.320049255,0.749558687210083
29.9117851862,0.0,0.315262,0.905835850962,0.732819834886,12518.806126117706,-0.0394363,3479,-1.15435,1.6742591857910156,0.08276033401489258,-5.14984e-09,1553.6909154,0.00999219,1598.09621187,1632.56020685,3.434535503387451,5,0.0394363,0.210829,120.765405269,0.7516522407531738
39.40043021,0.0,0.315781,0.899570027686,0.721408622783,12522.28761100769,-0.028931,3480,-1.15271,1.6671810150146484,0.09296536445617676,8.67844e-09,1467.0553542,0.00641318,1542.28603333,1578.53793307,3.4756267070770264,5,0.028931,0.210894,105.942482498,0.7269096374511719
36.1825764496,0.0,0.315686,0.879340919466,0.675628698419,12525.865302085876,-0.0377193,3481,-1.15301,1.649468183517456,0.09840703010559082,3.38554e-09,1458.91102301,0.00640034,1526.49650332,1555.11608028,3.4663946628570557,5,0.0377193,0.210897,104.237267916,0.7430212497711182
81.3349477413,0.0,0.315203,0.882557085697,0.677587834116,12529.299391269684,-0.0326749,3482,-1.15454,1.6367201805114746,0.09602165222167969,1.90735e-10,1383.63573486,0.00644812,1508.40199771,1618.9681784,3.428934335708618,5,0.0326749,0.210841,85.0387868661,0.7003400325775146
30.8752545657,0.0,0.315526,0.873634476064,0.680253565001,12532.718263626099,-0.0378236,3483,-1.15351,1.6443026065826416,0.09330511093139648,-6.86645e-09,1539.96404537,0.00645344,1588.43510119,1630.85050497,3.4132626056671143,5,0.0378236,0.210873,117.473925439,0.7040514945983887
46.7542447125,0.0,0.314645,0.899296713963,0.675008885666,12536.276965379715,-0.0309576,3484,-1.15631,1.647139310836792,0.09015464782714844,-0.0,1478.68809886,0.00640337,1550.55916724,1615.27816633,3.452608585357666,5,0.0309576,0.210783,103.285004744,0.7129616737365723
51.1100479169,0.0,0.314081,0.906559219434,0.687368963985,12539.738115787506,-0.0449327,3485,-1.1581,1.6536126136779785,0.09269523620605469,-4.76837e-09,1512.99619499,0.00997442,1603.10530606,1665.30452256,3.457838773727417,5,0.0449327,0.210722,128.352914923,0.7146883010864258
74.8360608725,0.0,0.313769,0.859374773727,0.678732417236,12543.119544267654,-0.0383899,3486,-1.1591,1.6393897533416748,0.08744978904724121,-1.10626e-08,1419.18566593,0.00997163,1563.20019588,1628.22369523,3.3769335746765137,5,0.0383899,0.210687,113.1925988,0.7029235363006592
75.7490613773,0.0,0.313599,0.914885313223,0.680108577476,12546.69809269905,-0.0343981,3487,-1.15964,1.6292190551757812,0.09196782112121582,-3.05176e-08,1455.96552636,0.0064524,1588.04702261,1671.25414679,3.484956741333008,5,0.0343981,0.210678,116.209308084,0.7072534561157227
53.6572787666,0.0,0.313551,0.910010690896,0.671164570152,12550.173713445663,-0.0352087,3488,-1.15979,1.655721664428711,0.08976268768310547,-8.7738e-09,1452.63451465,0.00640678,1557.45846508,1598.04466435,3.470940351486206,5,0.0352087,0.210696,102.936298299,0.7089831829071045
39.0728507931,0.0,0.313326,0.868341995386,0.718377874505,12553.689573526382,-0.044593,3489,-1.16051,1.6334872245788574,0.08776640892028809,9.15527e-09,1511.50563656,0.00996159,1575.62208691,1616.22418983,3.5116724967956543,5,0.044593,0.210657,109.740562113,0.716456413269043
26.9783978837,0.0,0.313043,0.896747753482,0.713072006795,12557.295320034027,-0.0284738,3490,-1.16141,1.6310431957244873,0.08611345291137695,-3.8147e-09,1503.93891014,0.00641644,1538.32072997,1568.25201871,3.5049307346343994,5,0.0284738,0.21062,97.6208655946,0.7179901599884033
45.1948177493,0.0,0.312752,0.917400779413,0.671054699016,12560.76515841484,-0.0339313,3491,-1.16235,1.6142404079437256,0.09487557411193848,2.09808e-09,1501.53000543,0.0064144,1582.6395675,1633.48605671,3.4645848274230957,5,0.0339313,0.210577,110.6936649,0.6980407238006592
36.1513323187,0.0,0.312369,0.860749630583,0.64589189498,12564.26951289177,-0.0396538,3492,-1.16357,1.664123296737671,0.09348773956298828,1.62125e-09,1469.70735215,0.00995068,1504.62814802,1573.27843884,3.501230001449585,5,0.0396538,0.210534,80.4542034244,0.7202239036560059
18.8275538537,0.0,0.312804,0.889202057608,0.706592417968,12567.831020116806,-0.0451989,3493,-1.16218,1.6475529670715332,0.09161806106567383,-2.67029e-09,1561.58283309,0.00640354,1588.15268787,1611.7694652,3.461832046508789,5,0.0451989,0.210573,117.850481748,0.7176790237426758
34.0563154817,0.0,0.312495,0.911333190618,0.73411965012,12571.347056865692,-0.0289612,3494,-1.16317,1.6717712879180908,0.09323501586914062,-1.05858e-08,1506.85185066,0.00641211,1559.81724633,1603.31931802,3.5120489597320557,5,0.0289612,0.210534,118.140132005,0.7287113666534424
65.0457503231,0.0,0.312137,0.884714173259,0.639740242474,12574.86801314354,-0.0322782,3495,-1.16431,1.6721134185791016,0.09477400779724121,-1.79291e-08,1472.49585181,0.00642602,1558.64348833,1658.53974399,3.5171966552734375,5,0.0322782,0.210479,105.477605755,0.7293329238891602
28.7071323809,0.0,0.31202,0.918866123966,0.715666258428,12578.471131801605,-0.0406878,3496,-1.16469,1.6649065017700195,0.09965872764587402,1.25885e-08,1564.14919052,0.00991768,1594.20149246,1641.23453617,3.49886417388916,5,0.0406878,0.210473,117.383331703,0.7581355571746826
57.7849520168,0.0,0.312317,0.889048066882,0.696418492682,12582.026219129562,-0.0422167,3497,-1.16374,1.686941146850586,0.09978866577148438,-1.25885e-08,1453.75600158,0.0099811,1566.95159861,1606.1386067,3.5506064891815186,5,0.0422167,0.210513,100.39865693,0.7382957935333252
29.6079190976,0.0,0.311555,0.903830634793,0.703568884618,12585.577400922775,-0.0346367,3498,-1.16618,1.6445972919464111,0.09648728370666504,-9.82285e-09,1554.92347791,0.00642372,1585.92463098,1634.48319853,3.5464162826538086,5,0.0346367,0.21041,111.047573707,0.7343013286590576
