MeanKL,ProcessExecTime,AbsLearnSignalOld,Perplexity,LossAfter,ItrTime,AverageQ,AveragePolicyStd,EnvExecTime,ExplainedVariance,MinReturn,LossBefore,Time,AverageAbsY,AverageReturn,Iteration,AbsLearnSignal,AverageAbsQYDiff,MaxReturn,StdReturn,AbsLearnSignalNew,MeanKLBefore,NumTrajs,AverageQLoss,AverageAbsQ,AverageY,PolicyExecTime,AverageDiscountedReturn,Entropy,dLoss
0.00950939,0.14470744132995605,0.631927823947,2.81791e+10,-175.094,67.18974018096924,180.569,0.996509,10.911737442016602,0.472584013256,282.31679598,-175.019,22788.44684958458,180.595639544,422.879996468,341,0.631675607041,4.85610344673,620.217040337,80.1147046543,0.631675607041,0.0,56,46.6284,180.634,180.57259743,1.2568140029907227,274.469893611,24.0618,0.0750122
0.0086953,0.1419506072998047,0.584608278029,2.81812e+10,-187.551,68.02259039878845,180.577,0.996512,10.868298292160034,0.568398814996,278.13831042,-187.482,22856.584696292877,180.605917839,453.827163249,342,0.58461799878,4.81723830853,766.373864997,97.2501840684,0.58461799878,0.0,52,45.4053,180.642,180.581649792,1.2545287609100342,286.131874099,24.0619,0.069519
0.00751189,0.14568734169006348,0.400809028791,2.81085e+10,-182.543,65.98937368392944,180.655,0.996361,10.969389200210571,-0.579703504437,263.003297835,-182.492,22922.696614265442,180.682594604,443.236188123,343,0.400783545059,4.83312808201,937.427833363,113.69363342,0.400783545059,0.0,54,45.9397,180.719,180.660050825,1.2507598400115967,280.696839755,24.0593,0.0512695
0.00909651,0.13792681694030762,0.362197229775,2.81282e+10,-184.07,66.79352307319641,180.481,0.996403,10.222315311431885,-1.08266788632,288.712278851,-184.009,22989.609021425247,180.509129032,435.613134518,344,0.362304705857,4.81903715269,632.470109979,80.9202129663,0.362304705857,0.0,54,45.5641,180.547,180.486379937,1.1981256008148193,278.991901027,24.06,0.0612183
0.00917819,0.14429736137390137,0.403988768791,2.81265e+10,-186.932,66.82818269729614,180.404,0.996399,10.683327913284302,-0.119197334661,272.093255617,-186.864,23056.556121587753,180.428793138,451.278250419,345,0.404244692537,4.79919882705,774.527131997,118.652454121,0.404244692537,0.0,53,45.5443,180.469,180.405510189,1.2145795822143555,282.842484047,24.06,0.0678864
0.00972471,0.13988494873046875,0.421138270486,2.81945e+10,-187.088,65.55929946899414,180.429,0.996541,10.405958890914917,-0.400475998182,323.187434335,-187.021,23122.234657526016,180.461223785,440.367453378,346,0.421082364496,4.79147954763,647.039636626,87.8169377676,0.421082364496,0.0,54,44.87,180.494,180.434561984,1.1921699047088623,281.387204633,24.0624,0.0663452
0.00871902,0.14000320434570312,0.496373390935,2.82124e+10,-183.056,66.98107481002808,180.419,0.996578,10.467926979064941,0.106762982836,255.964929094,-182.995,23189.33709549904,180.446650632,434.398106931,347,0.496565293274,4.80528038988,731.520541979,93.9663065587,0.496565293274,0.0,54,45.3808,180.485,180.423097461,1.1955699920654297,277.833328952,24.063,0.0601959
0.00943047,0.13777542114257812,0.706521959991,2.81677e+10,-185.655,68.49900770187378,180.818,0.996484,10.427798748016357,0.616580364864,299.451020683,-185.57,23257.95314502716,180.848077,438.887393013,348,0.706658019822,4.81218540442,715.255381395,87.0890302456,0.706658019822,0.0,53,45.2057,180.884,180.824104192,1.149221658706665,279.234843534,24.0614,0.0848236
0.00856401,0.13514280319213867,0.285196904857,2.81429e+10,-186.172,65.67978429794312,180.925,0.996432,10.005210399627686,-1.32155649499,185.231111453,-186.113,23323.749304056168,180.952578471,429.849364928,349,0.28523086084,4.81342620281,670.781084937,80.8586308559,0.28523086084,0.0,55,45.2908,180.989,180.930010727,1.116680383682251,277.327895754,24.0606,0.0584412
0.00940065,0.1408987045288086,0.352245443196,2.81249e+10,-188.769,67.16297101974487,181.387,0.996396,10.448673248291016,-0.23592311523,266.590025429,-188.716,23391.036181926727,181.417800008,452.898507755,350,0.352479644047,4.84592442627,810.139203288,99.3037258889,0.352479644047,0.0,53,45.7651,181.451,181.391902429,1.176635980606079,285.356204703,24.0599,0.0533142
0.00375985,0.14217233657836914,0.146916620255,2.80965e+10,-185.112,67.61678862571716,181.473,0.996335,10.6811203956604,-16.9867159192,291.433667063,-185.08,23458.772998809814,181.50066801,434.612558748,351,0.146907044,4.79221989754,591.734865095,76.2554300969,0.146907044,0.0,55,44.8197,181.536,181.478361521,1.1948485374450684,279.761566869,24.0589,0.0314941
0.00989398,0.13920068740844727,0.695998410358,2.81112e+10,-185.428,68.4473774433136,181.615,0.996366,10.250662088394165,0.666310908116,268.879180157,-185.351,23527.34378552437,181.642742204,420.781169631,352,0.696586363836,4.7708452098,683.044782434,85.7323775055,0.696586363836,0.0,56,44.3498,181.677,181.619103692,1.1550180912017822,272.827718925,24.0594,0.0772095
0.00929805,0.14281511306762695,0.631895487752,2.82293e+10,-186.976,68.05772662162781,181.056,0.996612,10.869609117507935,0.463656594189,289.832822633,-186.91,23595.520308971405,181.084261346,440.056124801,353,0.632319511751,4.79472096393,757.968186613,110.192381862,0.632319511751,0.0,54,44.6496,181.123,181.060271856,1.2221899032592773,279.428715516,24.0636,0.0663605
0.00753904,0.14016270637512207,0.482580607508,2.82161e+10,-188.941,66.19467329978943,181.384,0.996585,10.356274843215942,-0.0173093322967,262.577522446,-188.873,23661.840073108673,181.411541906,447.581670415,354,0.482611863008,4.77744740927,655.109935635,86.7493247615,0.482611863008,0.0,53,44.7529,181.448,181.388766771,1.1935217380523682,283.707938305,24.0632,0.068222
0.00991629,0.1407623291015625,0.68032180871,2.8244e+10,-187.158,67.3003363609314,181.725,0.996642,10.63013482093811,0.591086514577,242.172548561,-187.082,23729.2620139122,181.749331872,437.289784846,355,0.680400554774,4.77348732415,781.851675704,103.53834079,0.680400554774,0.0,55,44.709,181.783,181.730071653,1.2027652263641357,279.512912969,24.0641,0.0763397
0.00781439,0.14962506294250488,0.413191323318,2.81853e+10,-184.494,68.59163618087769,181.498,0.99652,11.104987859725952,-0.413504941124,275.950610229,-184.434,23797.975828886032,181.524977646,433.576349797,356,0.41336113739,4.80184804708,704.831788515,82.2615532488,0.41336113739,0.0,56,45.4762,181.56,181.501669683,1.2788336277008057,278.795238335,24.0621,0.0603943
0.00866726,0.14677882194519043,0.665617204666,2.82221e+10,-187.59,67.51397323608398,181.882,0.996596,10.580947637557983,0.609184573988,280.68147168,-187.509,23865.617740869522,181.908374977,453.71091749,357,0.665317868242,4.78173361348,687.294802281,99.7599000371,0.665317868242,0.0,52,45.0512,181.941,181.88725569,1.2105576992034912,285.713937355,24.0634,0.0805511
0.00916099,0.14600133895874023,0.463535819131,2.82479e+10,-186.433,68.00501537322998,182.12,0.996651,10.655202388763428,-0.133176338534,263.806890035,-186.352,23933.74953365326,182.147549439,444.119781825,358,0.463791012476,4.73743115612,691.412746989,91.2858851647,0.463791012476,0.0,55,44.092,182.179,182.123811263,1.2125422954559326,283.251367635,24.0643,0.0810547
